objid,ra, dec 
1237663275775361168,348.802605823,-1.24953224043
1237663479800004773,343.231633364,0.453592943911
1237648703522930848,228.211727817,-0.732850153054
1237666338116599906,19.7054946621,-0.997192985748
1237653650772852745,27.3102495641,13.0319847009
1237660240313712761,50.1402106426,-0.339228056644
1237663782595788923,20.5376791775,-1.16524116138
1237663785276735785,12.8638256092,0.877396907257
1237657190907773146,5.91522601695,-0.124705703914
1237651735771676787,213.646867628,1.75206325451
1237654879665586206,220.143998757,3.47045935677
1237651822173618264,218.52562264,3.77359793268
1237652943694398032,318.447274013,10.8273007441
1237652933496275175,317.212366391,-7.99059848896
1237654604787941646,157.983257826,4.00332707518
1237655468598165525,226.642818746,1.55882827335
1237655129299091565,241.07086925,49.7773563241
1237654653105733697,136.984935116,49.5889375498
1237663784218460301,48.0694831444,0.0511209057808
1237678617425477726,17.4491830673,1.21983527776
1237652900758618368,24.3679031378,-9.2778405682
1237655368755380342,204.379373422,60.0264114776
1237655464320499874,240.494441272,47.0895535814
1237656242242060720,351.141264274,14.6829644986
1237657856608174092,173.474091685,51.8294406222
1237658204511731755,185.785915367,49.854442781
1237658203444281420,206.990381483,46.9097119995
1237658424093769745,167.003590984,7.4399139572
1237658613587836962,156.780918816,46.9216224847
1237658802572558405,175.697315557,55.1851886538
1237658917459460159,197.765496241,54.2782508664
1237660765376413795,133.708668257,32.7391469962
1237660962938945670,136.240201903,34.2823493031
1237661815485562947,190.315555368,11.3872402227
1237661068698911282,121.637231786,6.1627596004
1237663544222482596,336.220574457,0.811903013619
1237655368753610775,196.354380907,61.1311331667
1237662503218839656,236.239293899,36.1179815204
1237657590851174457,151.315279726,50.1707341907
1237652901310759004,59.3191529742,-5.37404622045
1237661126155436170,139.949433117,33.7680263426
1237654786779840584,187.395804357,8.05798754751
1237661383310442682,148.699119922,36.4621940504
1237660634924580929,166.018344405,45.2719370929
1237661383844036673,140.119362687,33.6504654182
1237661871333376072,196.168463626,43.3095654218
1237659133284843550,224.627140434,48.4856372056
1237661060647879034,50.1138428624,42.5722008101
1237661418213933114,218.2929378,53.2426514795
1237661068181635088,166.514579548,13.1919020133
1237661388142542984,216.999562264,54.0088598199
1237661418212294707,212.486803042,54.8765149131
1237661949192896655,213.035294879,10.4982972432
1237662528458850510,221.753117819,11.0069751106
1237662237485564395,229.172010307,7.00169010069
1237662335717408964,237.567453337,32.5737385874
1237662698108813379,233.807936113,27.322127905
1237662661596151849,214.821758266,35.1542398779
1237662662132498564,213.678227858,35.8864382473
1237663916801785979,117.918332713,50.1840690589
1237662698110386262,237.406832209,25.6278130866
1237662236944564322,219.649228087,7.75715451227
1237664853118157077,241.189411337,23.0559718218
1237663783665401976,11.113466851,-0.37166052836
1237664834859565138,143.301548957,28.6519275623
1237665428645806223,241.292269439,17.7184040357
1237665128565243971,239.297095762,22.3877425759
1237665428638859387,225.457343487,23.54915935
1237667324334637362,195.078668224,28.0093072078
1237667444048658450,194.847550121,27.9195655267
1237664106850812044,146.212563337,12.5122525128
1237665428645740694,241.145810411,17.7292691624
1237666339726295158,17.5736171058,0.342974933502
1237665532263006501,246.833684104,14.0938713065
1237667910051364960,172.601176449,23.3667414304
1237667108498964595,123.187559073,16.8882469545
1237668293375951116,176.268314471,19.5706733416
1237667783916847273,205.717232598,22.1269430359
1237667910587842602,171.51022399,23.6432000366
1237664852576698400,230.621163476,27.7060424744
1237665227312791727,204.676908046,31.2491944381
1237665331473154206,212.303113037,30.4208108125
1237665428645740683,241.144435253,17.7134775725
1237666300017115328,46.6375208033,-0.565742372842
1237662263785685073,228.209406592,7.43942534852
1237665532263596062,248.025201146,13.6462426447
1237662337869939175,249.264202449,26.6991859222
1237667212133924885,168.822101262,29.5266946478
1237668297680224525,216.216357389,17.0419444666
1237667108501192837,128.002110463,19.2016228897
1237667442969870456,181.878667057,27.3212437327
1237667253998256260,140.846272941,22.3032474267
1237667322721665101,188.8633067,27.0674261328
1237668310556278955,241.125749868,11.213098871
1237668367999238473,241.935991266,13.9098967767
1237671262281793654,154.843311361,16.0833414736
1237671123767853176,151.717308071,14.3758152908
1237667915953537313,175.994586796,19.9911693921
1237648722305613887,182.629706021,0.672774881552
1237663783671300257,24.6787269769,-0.34805860809
1237653650772852745,27.3102495641,13.0319847009
1237654604787941646,157.983257826,4.00332707518
1237655468598165525,226.642818746,1.55882827335
1237655129299091565,241.07086925,49.7773563241
1237657628432007196,119.771506617,27.4595402377
1237661873488134220,218.335530063,40.5502168996
1237654786779840584,187.395804357,8.05798754751
1237661949725114453,202.336074539,11.7400488444
1237662305116881015,217.507041465,36.3582209723
1237662661596151849,214.821758266,35.1542398779
1237665128565243971,239.297095762,22.3877425759
1237667444048658450,194.847550121,27.9195655267
1237668293375951116,176.268314471,19.5706733416
1237665227312791727,204.676908046,31.2491944381
1237667253998256260,140.846272941,22.3032474267
1237667430098862106,152.677492793,23.6521540218
1237667538006769740,148.615197028,20.790184181
1237667915953537313,175.994586796,19.9911693921
