
objid,objid1,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,theta,effective50_radius,Surface_area_logged,veldisp,vdisp_median,vdisp_median1,Ports_passive_mass,GranadaFSPS_mass,WiscBC03_mass,Wiscm11_mass,Flux_OIII_5006,Flux_Hb_4861,Flux_NII_6583,Flux_Ha_6562,Flux_SII_6716,Flux_SII_6730,Flux_OI_6300,snMedian,bpt,clean
19,1237667444048723983,195.033861825427,27.9769409285138,29.67856,0.7626967,14.23202,0.02150175,14.37968,12.34061,11.5143,11.21793,10.84143,38.16121,15.50929,26.01305,12.37453,2.68220712982149,369.672,335.608978271484,355.426540374756,11.76,11.4004565976093,11.8300005157216,11.734267981723,0,139.7972,65.04322,45.38978,0,0,0,50.17568,Composite,0
34,1237654786779840539,187.376046140222,7.99284317626747,7.235897,0.7209538,3.802048,0.004638069,16.54515,14.70676,13.86804,13.47626,13.17762,10.55582,4.525541,6.277695,0.6441709,0.115151959716454,49.13549,82.5101494789124,62.0028692483902,9.42,9.44382981249417,9.41927953673439,9.33290007150936,13.85581,84.70698,2.028226,6.191006,0,0,3.208449,42.43584,Star Forming,1
44,1237660635994259485,153.202376162246,43.1455394450113,9.734761,0.910614,7.732456,0.007489528,15.10697,13.49033,12.81589,12.45397,12.21556,14.94026,6.459726,9.555783,1.583377,0.896318644787189,91.14854,108.705945014954,89.4926691055298,9.86,9.96628245453019,10.0170932493347,10.0295775144259,256.9044,112.0688,457.9794,299.2245,237.1411,131.7732,85.72678,49.24722,LINER,1
45,1237660613436047394,168.165872342804,9.05583657196143,24.40766,0.7231822,14.21233,0.004712859,14.60026,13.36901,12.61865,12.27536,11.95147,28.22389,12.90216,21.58541,2.250653,1.2017667847927,46.72092,100.737991333008,83.7937450408936,9.56,9.92623320132852,9.63936110062059,9.69412443137844,497.2678,1966.126,3647.188,8043.721,1459.287,1188.505,167.2387,43.01942,Star Forming,1
46,1237660612902125601,175.077108394447,9.00988631503234,29.20901,0.3255726,13.42353,0.006114698,15.11805,13.52969,12.70195,12.28254,11.96512,19.97488,8.919971,18.56285,2.511211,1.29691624671382,87.08018,113.345093727112,101.433792114258,9.89,10.1876564429838,10.2421306089382,10.1524352829147,260.8242,555.3578,627.0468,857.8768,177.306,114.884,87.28022,40.0401,Composite,0
71,1237660961326432412,132.887252954679,30.8653437910683,10.83282,1,8.915872,0.006786835,15.3845,13.55393,12.80495,12.42625,12.1654,29.72258,11.60687,10.83282,1.62657,0.919695100140876,80.27478,107.824654579163,96.8477439880371,10.02,10.1448527024218,10.2178021507571,10.1070186026554,46.19236,15.58811,18.98073,25.89787,0,0,294.2527,47.80053,Seyfert,0
86,1237655108906582202,150.216971482739,55.6187906728968,11.79955,0.9161204,7.309177,0.003762656,15.05674,13.67179,13.20222,12.93237,12.74775,18.78656,8.23282,11.4229,0.9508992,0.453418731543693,0,93.7649488449097,75.5234789848328,9.14,8.92384896994926,8.81080171586655,8.86530287066853,233.53,232.2755,241.2668,884.1957,199.2377,138.8164,24.00811,52.62119,Star Forming,0
103,1237668294982631441,166.668594867283,20.0855362909649,11.245,1,7.716662,0.004018013,15.18432,13.47864,12.75721,12.41218,12.20493,18.96657,7.705773,11.245,0.9996191,0.496818896649745,97.36024,120.596151351929,108.780341148376,9.4,9.49576835016201,9.79876529015019,9.63198986867792,444.9687,329.8223,167.9356,594.6448,106.3879,23.37044,24.16982,47.78188,Star Forming,1
120,1237665026511142935,172.2255372988,35.4139977997218,8.472966,0.7148929,6.314337,0.007528562,15.04789,13.73907,13.03939,12.71223,12.41759,14.35803,6.403587,7.857526,1.308764,0.730872766925905,72.64762,105.511531829834,80.3762817382813,9.8,10.0629737614287,9.95391296295566,9.94783843706682,624.287,955.4942,1562.342,2926.921,1031.38,758.539,162.1485,41.72847,Composite,1
129,1237671128593989759,182.040086050181,10.3789065354831,29.67597,0.2625987,14.87553,0.005509924,14.54987,12.9213,12.20575,11.8385,11.58991,57.8132,21.70997,18.76211,2.28713,1.21573161851319,14.91173,79.7629141807556,66.5323853492737,9.85,10.0386100792698,9.97694695234532,10.0095073213161,67.06418,356.4639,319.931,862.4924,64.23682,63.03159,17.25718,47.55639,Star Forming,1
