objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,theta,effective50_radius,Surface_area_logged,veldisp,vdisp_median,vdisp_median1,Ports_passive_mass,GranadaFSPS_mass,WiscBC03_mass,Wiscm11_mass,Flux_OIII_5006,Flux_Hb_4861,Flux_NII_6583,Flux_Ha_6562,Flux_SII_6716,Flux_SII_6730,Flux_OI_6300,snMedian,bpt,clean
1237661082662864123,50.6026737825298,40.1888388770186,1.930695,0.8380472,1.272461,0.02608409,19.56435,17.88971,17.10985,16.68076,16.34129,3.579621,1.617488,1.824092,1.052655,0.54172198084622,50.0122,89.7098731994629,68.6931538581848,9.38,9.35067803433483,9.61791448116128,9.59690044534364,2330.719,227.648,218.0643,691.6636,95.82147,101.4201,83.43473,24.2494,Seyfert,1
1237661086955733209,122.938748096821,23.4738118688443,1.901475,0.8932226,1.494409,0.01573402,18.40486,16.94778,16.32615,16.009,15.79731,4.212618,1.834509,1.85801,0.6467722,0.118652479163617,33.84398,83.9907264709473,67.8287363052368,9.16,9.0409412244237,9.15479312496609,9.13448374594736,478.9106,89.41582,79.71535,280.8221,67.64742,64.65208,46.02101,31.37078,Seyfert,1
1237667253993537779,130.106444328233,18.3163873983917,4.095348,1,2.072707,0.01498547,18.21714,16.8297,16.16569,15.86049,15.65472,7.628029,3.103474,4.095348,1.357766,0.762799356407522,28.0776,85.0806093215942,68.2037174701691,9.14,9.05241400913538,9.24085615018339,9.2300791193702,583.6952,132.4776,75.47085,347.4337,74.41332,50.048,22.48046,22.93947,Composite,1
1237657606426722566,130.520556525632,40.6595918755853,4.106686,0.2574906,1.925522,0.02934036,20.0922,18.47076,17.74728,17.37833,17.13307,4.358554,2.163749,2.487152,1.614475,0.913212501627188,14.62407,96.3878774642944,81.0873293876648,9.17,9.23197634776977,9.33433749009055,9.32326293559527,85.26603,21.35472,45.89182,77.54994,33.16076,20.10348,3.084847,11.3899,Seyfert,1
1237667729663328380,135.594833562095,14.1803523883596,5.116088,0.2802866,3.046707,0.02966055,19.54281,17.96642,17.25344,16.87262,16.64229,5.109634,2.29022,3.626727,2.379894,1.25026519120228,38.97269,82.8397059440613,72.2217869758606,9.37,9.48717271616215,9.42319850687636,9.43217759422259,95.23782,37.38407,126.6267,129.781,76.93278,53.02301,20.6351,15.51455,LINER,1
1237651192433999996,136.557358551255,56.1708960202166,1.768699,1,1.037987,0.04662029,19.08817,17.80783,17.44183,17.09988,16.89589,3.725659,1.672412,1.768699,1.824284,1.01933483065618,88.36214,86.7175626754761,73.2052850723267,9.65,9.39849989882137,9.4645081605704,9.55705567370751,2451.312,427.7306,386.1455,1242.111,142.2087,122.7025,155.5681,19.15919,Seyfert,1
1237667210511581431,140.374956398105,21.5276075339709,2.157529,0.9974776,1.525061,0.03125925,19.28356,17.78091,17.12503,16.79907,16.55709,3.488803,1.561627,2.155934,1.491,0.84410524091802,47.55952,92.3809504508972,76.2403464317322,9.43,9.42769354992879,9.55831363706966,9.57196598811424,258.7516,89.86509,75.67857,188.882,62.37402,40.39102,12.17664,20.70474,Composite,1
1237657857674576033,148.575642783385,47.2903089256553,3.203807,1,1.929884,0.03266023,18.32456,17.19126,16.70607,16.41234,16.26296,6.697046,2.732962,3.203807,2.314991,1.22624821632152,41.59172,91.6020655632019,103.121361732483,9.61,9.67755768613674,9.60934642579377,9.49758257258509,3371.058,800.7339,769.2526,2195.365,360.3045,340.5468,188.2953,20.82183,Seyfert,1
1237667111190069338,152.398597112322,26.9469421167826,3.164372,0.8756004,1.908642,0.01435636,17.92429,16.7203,16.26532,16.06214,15.87076,5.154785,2.166509,3.00816,0.955452,0.45756749852908,46.5359,96.5015268325806,67.2251975536346,9.06,8.74218950724872,8.76080541621195,8.78343386794222,4082.436,492.5394,343.2112,1514.625,295.3892,229.3295,289.787,26.19219,Seyfert,1
1237658613587509273,155.717590553587,46.7057548612782,1.049642,0.668542,1.000844,0.04002912,20.05261,18.42598,17.67511,17.30372,17.03678,2.601636,1.252594,1.033467,0.9152431,0.420222755514134,38.80427,87.4571418762207,77.9501008987427,9.43,9.7834997283762,9.60222715652344,9.60597111276002,90.41449,47.03133,86.44911,105.6354,62.02084,42.44938,18.28416,15.23142,LINER,1
1237667536403366027,166.26652913156,22.6898462534685,1.237489,0.8320047,0.9974843,0.02464683,19.69003,18.26529,17.58028,17.22229,16.98377,2.575448,1.155866,1.197169,0.6528003,0.126710422405591,63.29849,98.7379026412964,81.6833925247192,8.99,9.23546708426699,9.2074681154445,9.23998275790655,165.2435,26.26568,43.73888,79.89178,24.73163,15.79278,4.925356,16.36056,Seyfert,1
1237653618009571472,167.301663123,61.3962979698284,29.67717,0.06241401,12.31324,0.006750924,16.5722,15.49516,15.12978,14.95192,14.85464,21.68565,9.935986,13.39699,2.000941,1.09961826172485,16.8267,92.1309995651245,74.3204522132874,8.82,8.48574969439378,8.73283896342036,8.64950106506149,943.1087,150.6704,84.12988,432.2936,114.1659,93.97322,52.60851,13.7877,Seyfert,0
1237654605329334450,168.330157114261,4.74032830636638,3.22553,1,1.60461,0.02645981,19.38156,17.87778,17.20761,16.87456,16.61797,5.179396,2.21291,3.22553,1.888215,1.04925247959662,59.15858,91.9813895225525,73.7322592735291,9.27,9.15145930320685,9.30593664479966,9.29541118630732,249.1483,63.22209,35.32739,173.2083,44.76325,28.60575,7.255469,14.23794,Composite,1
1237667321642745969,175.760042652273,26.1386050960634,2.065983,0.6803686,1.541658,0.02296748,19.03478,17.60621,16.93773,16.58607,16.35056,3.43123,1.556922,1.898392,0.9646348,0.465875611639065,65.51315,95.3046035766602,70.5032777786255,9.21,9.28389747015237,9.35463133995654,9.36346072274318,834.3742,251.1444,565.3727,833.525,127.3424,117.3871,74.29948,14.35076,Seyfert,1
1237667550349623394,175.998293602001,24.714382919742,1.096736,0.5396776,0.8946485,0.05014338,19.97647,18.45333,17.7129,17.3453,17.10309,2.570534,1.208889,1.00371,1.113488,0.590521111313383,31.798,118.03201675415,99.9562454223633,9.68,9.7939411215368,9.75820656529686,9.76974101501401,198.0049,65.24828,87.39592,140.6125,32.58067,24.12733,7.046138,16.06406,Seyfert,1
1237665023828099192,176.078494569325,33.6687523788321,0.9831862,1,0.7931744,0.03254014,19.72529,18.13646,17.43363,17.09979,16.86433,2.727934,1.269618,0.9831862,0.7078136,0.196987613497733,49.26287,86.1106848716736,66.7558002471924,9.3,9.28998994733512,9.40281204955681,9.41961323817668,226.3803,58.56127,142.4696,155.769,48.34379,39.14644,38.73207,17.76547,Seyfert,1
1237661972264124632,196.145501580183,7.91806791999771,1.052769,0.957247,0.8352436,0.04801334,19.5041,18.03932,17.51769,17.24817,17.07258,2.677415,1.212664,1.043469,1.108422,0.586560368846217,55.30566,93.0316781997681,71.3568758964539,9.67,9.43131323308802,9.47198284947081,9.46773089058115,152.216,17.79485,128.5416,46.43085,26.6179,16.59762,11.5006,16.89448,LINER,1
1237664818218401833,196.2410942574,36.4395116344317,29.66629,0,10.15013,0.0228747,17.74507,16.40075,15.94701,15.72517,15.64457,16.31107,8.121788,10.15013,5.136774,1.91853071044123,0,93.4735250473022,89.4689440727234,9.56,9.29648094571374,9.49795487780648,9.45385040347173,259.124,47.89505,76.43251,143.0885,56.92638,40.81664,19.58755,6.008451,Seyfert,0
1237665532244394070,203.190090978999,26.5803873920549,1.210805,0.7138317,0.9581201,0.04700525,18.68346,17.57333,17.22823,16.84565,16.69598,2.43346,1.188149,1.138495,1.183971,0.643831947069012,850,90.0205659866333,70.3981363773346,9.74,9.8031049978248,9.52847616234067,9.7560558923069,6783.723,1051.669,1593.18,3164.714,645.2968,569.4928,317.0883,20.05839,Seyfert,1
1237658203444281420,206.990381482928,46.9097119994916,0.6948792,1,0.6364197,0.02765125,19.00757,17.53615,16.90539,16.5913,16.33775,2.199695,1.007196,0.6948792,0.4250967,-0.245874830490714,59.92252,167.952442169189,102.409167289734,9.39,9.27297680207429,9.39630248263711,9.44960124125646,1862.566,303.414,3144.221,950.2331,261.9728,196.9349,124.2711,22.085,LINER,1
1237661871873917063,207.414020842154,42.0448321462326,0.5360116,0.9942071,0.6165331,0.04109669,19.10897,17.82854,17.3639,17.0803,16.89362,2.188944,1.01246,0.536478,0.4877783,-0.126405308500529,38.94576,100.780239105225,71.6817998886108,9.57,9.34577140148023,9.57729219034081,9.50174927021726,726.8221,107.5295,326.8636,356.933,77.76644,66.27025,23.29775,16.35617,Seyfert,1
