Line_number2,objID,ra,dec,type,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z,specObjID,Redshift
0,1237655549669016151,245.31336871898,-0.527890606242345,STAR,19.84192,19.40356,18.96853,18.68287,18.37434,389562770560935936,0.4135419
11,1237648702972756304,197.774149003836,-1.19336771572971,STAR,21.83968,21.30319,21.30812,21.36153,20.96164,4563456859310845952,2.110363
13,1237648702972821531,197.879286299936,-1.05897716998538,STAR,18.77312,18.72713,18.46905,18.41397,18.49664,332207844197689344,1.302196
13,1237648702972821531,197.879286299936,-1.05897716998538,STAR,18.77312,18.72713,18.46905,18.41397,18.49664,332208125786482688,1.302879
20,1237648702972887155,198.036179957808,-1.1194811787221,STAR,19.43596,19.13261,18.9456,19.10203,19.01728,332198773226760192,0.8042856
20,1237648702972887155,198.036179957808,-1.1194811787221,STAR,19.43596,19.13261,18.9456,19.10203,19.01728,332200978960902144,0.8053297
22,1237648702972887236,198.110995601059,-1.05292041826589,STAR,21.02524,20.42377,20.29582,20.1899,20.08422,4563476925398052864,0.7552366
26,1237648702972887861,198.015437967381,-1.21611766896747,GALAXY,25.54622,22.20549,20.17521,19.07563,18.7315,4563466754915495936,0.5916831
33,1237648703503597867,184.003619703589,-0.666640659665421,STAR,21.96243,21.58151,21.86894,21.45925,21.04406,4252720298380161024,1.842936
46,1237648703525159663,233.297269611234,-0.756573133713719,GALAXY,21.01386,19.05794,17.83389,17.30229,16.85401,354738213148977152,0.1515188
53,1237648704040927444,185.035913022537,-0.360730172069968,STAR,21.18488,20.09984,19.90139,19.90581,19.98883,2891383598215096320,2.935187
53,1237648704040927444,185.035913022537,-0.360730172069968,STAR,21.18488,20.09984,19.90139,19.90581,19.98883,4330252362775719936,2.938738
62,1237648704040992951,185.137375858201,-0.242809578979321,GALAXY,19.85962,19.36027,18.78553,18.28144,18.22672,324289718172805120,0.2119447
63,1237648704041648230,186.672624718135,-0.334744682173162,STAR,19.09433,18.94926,18.81706,18.79788,18.32984,325449427894429696,0.3532658
67,1237671266033402211,191.316857853623,-0.316533071306462,STAR,20.92133,20.64156,20.32444,19.89928,19.99633,328850760722835456,1.588674
70,1237648704047874075,200.849108440802,-0.365356106683863,STAR,18.98321,18.44418,17.88641,17.64995,17.56596,334466242389764096,1.39029
70,1237648704047874075,200.849108440802,-0.365356106683863,STAR,18.98321,18.44418,17.88641,17.64995,17.56596,334465697600006144,1.390081
70,1237648704047874075,200.849108440802,-0.365356106683863,STAR,18.98321,18.44418,17.88641,17.64995,17.56596,4560002468788498432,1.39107
76,1237648704056852687,221.435907213649,-0.287486108947234,STAR,18.23058,18.12388,18.11969,17.95007,17.94616,346829975749421056,1.780322
80,1237648704581271582,192.918039202612,0.0363592706711507,STAR,18.30564,17.8625,17.56768,17.49355,17.33698,328916456542595072,0.8776056
82,1237648704581271709,192.929874325028,0.123851468165185,STAR,20.10798,18.78656,18.63475,18.5985,18.56267,328915357030967296,2.96485
82,1237648704581271709,192.929874325028,0.123851468165185,STAR,20.10798,18.78656,18.63475,18.5985,18.56267,4334835681156853760,2.968123
92,1237648721237508188,195.546021916913,0.00124411294389737,STAR,18.63734,18.55147,18.36412,18.00714,17.94521,329910696391239680,1.799791
92,1237648721237508188,195.546021916913,0.00124411294389737,STAR,18.63734,18.55147,18.36412,18.00714,17.94521,329909866640467968,1.799109
98,1237671991342137591,205.865982001308,0.00227195140089075,GALAXY,22.71532,20.75311,19.01631,18.39402,18.00545,4552225898443239424,0.3288569
100,1237648704586908128,205.872936386833,0.0730203734287797,STAR,21.47381,21.33896,21.55375,21.40571,21.30617,4552225073809518592,2.21751
106,1237648704587104262,206.220459804814,0.0889611164299372,GALAXY,17.71424,16.9622,16.32693,15.87108,15.66041,336795008151611392,0.08696799
110,1237648704590184957,213.314027530846,0.0089964311330331,STAR,24.31833,21.39892,19.74577,19.70555,19.75356,341257650031323136,4.077422
110,1237648704590184957,213.314027530846,0.0089964311330331,STAR,24.31833,21.39892,19.74577,19.70555,19.75356,4542123035935305728,4.080953
119,1237648704603161198,243.038698483538,0.0592123233327854,GALAXY,18.31168,16.23865,15.24675,14.76331,14.41052,388588603208394752,0.0580112
122,1237648704603227052,243.044001801988,0.0276637434959797,GALAXY,23.20604,21.49655,19.56425,18.79509,18.47829,389646333444646912,0.3932191
136,1237648705120239676,197.776976720781,0.586123939356451,STAR,18.50613,18.15255,17.821,17.57911,17.35694,331187504134776832,0.418162
137,1237648705120239683,197.785333620973,0.531043945132356,STAR,18.14557,17.90855,17.88608,17.83894,17.70476,331186404623149056,0.4290926
145,1237648705650884673,183.5631564108,0.91986901263352,STAR,18.50433,18.32461,18.31935,18.2409,17.88001,364945803434813440,0.3957455
145,1237648705650884673,183.5631564108,0.91986901263352,STAR,18.50433,18.32461,18.31935,18.2409,17.88001,364949652564371456,0.3957586
