Name	 System	 RA	 Dec	 Distance	 M_V	 logM	 e_logM	 rhl	 e_rhl	 HRV	 sigma	 e_sigma	 ML	 e_ML	 nLMXB	 Ref
F-17              	Fornax    	54.64083	35.43255	20.9	11.37	6.8	5.8	3.46	    	1390	28	1.4	2.1	0.4	0.901	Mieske+13   
F-22              	Fornax    	54.82375	35.42503	20.9	11.22	6.9	5.9	5.34	    	1054	29.1	1.5	3.2	0.9	0.29	Mieske+13   
F-34              	Fornax    	54.55291	35.4825	20.9	10.83	6.3	5.6	4.19	    	1639	15.3	1.5	1.2	0.4	0.318	Mieske+13   
F-3               	Fornax    	54.54333	35.40172	20.9	11.7	     	     	     	    	1626	31.3	1.5	    	    	       	Mieske+08a  
F-18              	Fornax    	54.675	35.55361	20.9	11.7	     	     	     	    	2024	19.1	1.4	    	    	       	Mieske+08a  
gregg25           	Fornax    	54.55008	35.66589	20.9	      	     	     	     	    	1307	     	    	    	    	       	Gregg+09    
gregg26           	Fornax    	54.55937	35.4455	20.9	      	     	     	     	    	1377	     	    	    	    	       	Gregg+09    
gregg45         * 	Fornax    	54.67975	35.46708	20.9	      	     	     	     	    	1574	     	    	    	    	       	Gregg+09    
HGHH92-C6         	NGC 5128 	201.34245	43.046	3.42	11.01	6.5	5.7	4.3	     	854.5	20.7	1.5	1.5	0.4	0.369	Mieske+13   
HGHH92-C7         	NGC 5128 	201.52254	42.94233	3.42	11.09	6.8	6.3	7.5	     	594.9	19.1	    	2.7	    	0.118	Mieske+08a  
HHH86-C18         	NGC 5128 	201.41616	43.08386	3.42	10.14	6.2	5.7	3.2	     	479.8	14.7	    	0.9	0.3	0.264	Mieske+08a  
HGHH92-C21        	NGC 5128 	201.46975	43.09622	3.42	10.39	6.7	6.2	7	     	461.3	17.2	    	3.9	1.4	0.062	Mieske+08a  
HGHH92-C23        	NGC 5128 	201.47741	42.99039	3.42	11.66	6.8	6.3	3.3	     	673.7	29.5	    	1.7	0.6	1.393	Mieske+08a  
HGHH92-C36=R113   	NGC 5128 	201.5322	42.86675	3.42	9.91	6.3	5.8	3.6	     	702.7	14.7	    	2.2	0.8	0.156	Mieske+08a  
HGHH92-C37=R116   	NGC 5128 	201.54408	42.89519	3.42	9.83	6	5.6	3.3	     	611.7	12	    	1.5	0.5	0.173	Mieske+08a  
HCH99-16          	NGC 5128 	201.3762	42.993	3.42	10.08	6.3	5.8	12.1	     	458.2	8.4	    	2.2	0.8	0.013	Mieske+08a  
HCH99-18          	NGC 5128 	201.38167	43.00078	3.42	11.38	7	6.6	13.7	     	455	18.7	    	3.7	1.4	0.043	Mieske+08a  
HGHH92-C12=R281 * 	NGC 5128 	201.27383	43.17519	3.42	10.52	6.63	    	10.8	1.4	440.4	13.1	    	3.1	    	0.027	Rejkuba+07  
SUCD1             	Sombrero 	190.01304	11.66786	9.95	12.31	7.3	    	14.7	1.4	1293.1	25	5.6	3	    	0.106	Hau+09      
M60-UCD1          	Virgo    	190.8999	11.5347	16.7	14.2	8.3	7.5	24.2	0.5	1290	68	5	4.9	0.7	0.302	Strader+13  
M85-HCC1          	Virgo    	186.34516	18.18158	16.7	12.55	     	     	1.85	0.9	658	     	    	    	    	13.875	Sandoval+15
