F-17               ;Fornax   240; 3.6; 0.37;  4.9;  169.61; 44.49;   26.16; 35.66;  144.36; 26.71; -14.30; 0.17; 0.27; -14.44; 0.35; 0.76; -14.75; 0.17; 0.30 38.42 0.17 0.27 38.27 0.35 0.76 37.97 0.17 0.30 -0.69 1.49          
F-22               ;Fornax    93; 5.3; 0.59;  8.0;  126.79; 42.60;   29.12; 35.56;   99.67; 23.60; -14.05; 0.20; 0.35; -14.11; 0.36; 0.94; -14.50; 0.18; 0.35 38.67 0.20 0.35 38.61 0.36 0.94 38.22 0.18 0.35 -0.55 1.49          
F-34               ;Fornax   279; 5.3; 0.13;  8.8;  272.86; 47.47;   86.16; 37.62;  186.37; 29.02; -13.98; 0.12; 0.17; -14.11; 0.21; 0.48; -14.55; 0.13; 0.19 38.74 0.12 0.17 38.61 0.21 0.48 38.17 0.13 0.19 -0.37 1.19 0.14 0.14
F-3                ;Fornax   414; 4.5; 0.89;  7.0;  288.53; 47.85;   92.87; 37.84;  195.32; 29.36; -14.15; 0.11; 0.16; -14.29; 0.21; 0.49; -14.68; 0.13; 0.18 38.56 0.11 0.16 38.42 0.21 0.49 38.04 0.13 0.18 -0.36 1.30 0.14 0.14
F-18            d  ;Fornax   204; 5.5; 0.51;  9.7;   32.87; 43.22;    0.96; 36.98;   31.92; 22.46; -14.68; 0.36; 0.87; -14.37; 0.43; 1.00; -15.11; 0.39; 0.98 38.04 0.36 0.87 38.35 0.43 1.00 37.61 0.39 0.98 -0.94 1.49          
gregg25         d  ;Fornax    74; 4.7; 0.82;  8.7;   18.12; 40.12;    8.00; 35.00;   10.12; 19.69; -14.49; 0.41; 1.04; -14.05; 0.42; 0.95; -14.92; 0.39; 0.91 38.22 0.41 1.04 38.67 0.42 0.95 37.80 0.39 0.91 -0.12 1.49          
gregg26         d  ;Fornax   194; 2.7; 1.21;  4.7;    5.99; 40.20;    1.00; 34.78;    4.91; 20.25; -15.31; 0.44; 1.05; -14.58; 0.44; 1.01; -15.74; 0.44; 1.02 37.41 0.44 1.05 38.14 0.44 1.01 36.97 0.44 1.02 -0.66 1.49          
gregg45         *d ;Fornax   265; 4.8; 1.49;  7.6;   45.20; 41.89;    4.00; 35.17;   41.04; 22.83; -14.87; 0.34; 0.93; -14.70; 0.42; 1.04; -15.31; 0.39; 0.89 37.85 0.34 0.93 38.02 0.42 1.04 37.41 0.39 0.89 -0.82 1.49          
HGHH92-C6          ;NGC 5128 612; 4.4; 0.35;  7.2;  175.11; 46.02;   67.95; 38.24;  108.00; 25.70; -14.61; 0.18; 0.29; -14.72; 0.31; 0.86; -15.09; 0.19; 0.35 36.53 0.18 0.29 36.42 0.31 0.86 36.06 0.19 0.35 -0.23 1.55 0.23 0.22
HGHH92-C7          ;NGC 5128 445; 5.4; 0.45;  9.2;  106.16; 43.32;   30.37; 36.21;   76.71; 23.89; -14.70; 0.24; 0.59; -14.72; 0.37; 1.05; -15.13; 0.25; 0.62 36.45 0.24 0.59 36.42 0.37 1.05 36.02 0.25 0.62 -0.43 1.70 0.27 0.26
HHH86-C18          ;NGC 5128 593; 5.0; 0.57;  7.9;  597.54; 51.70;  210.46; 40.53;  388.96; 32.19; -13.91; 0.06; 0.07; -14.08; 0.12; 0.16; -14.40; 0.06; 0.08 37.23 0.06 0.07 37.06 0.12 0.16 36.75 0.06 0.08 -0.3  1.52 0.09 0.09
HGHH92-C21         ;NGC 5128 639; 6.1; 0.26; 10.0;  602.25; 52.19;  311.54; 42.82;  293.46; 29.98; -13.86; 0.06; 0.07; -13.95; 0.10; 0.12; -14.58; 0.08; 0.09 37.29 0.06 0.07 37.20 0.10 0.12 36.57 0.08 0.09  0.03 0.95 0.10 0.10
HGHH92-C23         ;NGC 5128 652; 5.1; 0.20;  8.2; 3586.70; 82.61; 1312.04; 57.91; 2286.62; 59.09; -13.15; 0.02; 0.02; -13.31; 0.03; 0.03; -13.65; 0.02; 0.02 38.00 0.02 0.02 37.83 0.03 0.03 37.50 0.02 0.02 -0.27 1.49 0.04 0.04
HGHH92-C36=R113    ;NGC 5128 106; 7.1;     ; 12.9;   69.42; 41.41;    5.67; 35.09;   64.75; 22.12; -14.05; 0.25; 0.61; -14.10; 0.39; 0.94; -14.56; 0.27; 0.68 37.09 0.25 0.61 37.05 0.39 0.94 36.59 0.27 0.68 -0.84 1.49          
HGHH92-C37=R116    ;NGC 5128 291; 6.5;     ; 11.1;  124.92; 42.96;   35.33; 36.07;   89.46; 23.40; -14.28; 0.18; 0.37; -14.39; 0.32; 0.76; -14.79; 0.20; 0.40 36.86 0.18 0.37 36.75 0.32 0.76 36.36 0.20 0.40 -0.43 1.49          
HCH99-16           ;NGC 5128 837; 3.4; 0.32;  4.3;  324.79; 47.66;  100.02; 38.21;  226.65; 28.61; -14.46; 0.09; 0.12; -14.68; 0.24; 0.51; -14.88; 0.10; 0.14 36.68 0.09 0.12 36.47 0.24 0.51 36.27 0.10 0.14 -0.39 1.73 0.15 0.14
