#ID,RA,DEC,RV,RV_err,RAD
NGC720_S1,28.165375,-13.732361,1794,11,5.07
NGC720_S2,28.217625,-13.731111,1805,10,2.06
NGC720_S3,28.165917,-13.715389,1772,11,5.21
NGC720_S4,28.248333,-13.781639,1681,14,2.59
NGC720_S5,28.219833,-13.738417,1659,21,1.88
NGC720_S6,28.207125,-13.707472,1561,14,3.22
NGC720_S7,28.285375,-13.817556,1766,15,5.12
NGC720_S8,28.206,-13.729667,1710,18,2.74
NGC720_S9,28.215,-13.708139,1797,9,2.83
NGC720_S10,28.26925,-13.737528,1817,11,1
NGC720_S11,28.2745,-13.825028,1508,11,5.34
NGC720_S12,28.251333,-13.730833,1471,10,0.47
NGC720_S13,28.197083,-13.830444,1714,20,6.37
NGC720_S14,28.21675,-13.724361,1845,15,2.23
NGC720_S15,28.205042,-13.734833,1635,19,2.75
NGC720_S16,28.246208,-13.772889,1959,12,2.08
NGC720_S17,28.269958,-13.719417,1759,23,1.56
NGC720_S18,28.236458,-13.718889,1749,9,1.49
NGC720_S19,28.234542,-13.699028,1852,11,2.59
NGC720_S20,28.255542,-13.753167,1730,12,0.89
NGC720_S21,28.219667,-13.767778,1831,15,2.57
NGC720_S22,28.261167,-13.719444,1652,9,1.27
NGC720_S23,28.27,-13.7125,1756,10,1.89
NGC720_S24,28.255,-13.746444,1783,6,0.5
NGC720_S25,28.2475,-13.755778,2182,9,1.06
NGC720_S26,28.214375,-13.778056,1616,6,3.23
NGC720_S27,28.28325,-13.694139,1496,19,3.23
NGC720_S28,28.15025,-13.8265,1719,16,7.94
NGC720_S29,28.240833,-13.724361,2130,11,1.08
NGC720_S30,28.242208,-13.778528,1521,13,2.46
NGC720_S31,28.263208,-13.763917,1914,8,1.65
NGC720_S32,28.277,-13.733528,1480,12,1.48
NGC720_S33,28.320042,-13.770278,1842,11,4.39
NGC720_S34,28.23675,-13.739,1897,10,0.89
NGC720_S35,28.254708,-13.747833,1556,15,0.57
NGC720_S36,28.285833,-13.749028,1772,15,2.06
NGC720_S37,28.298667,-13.771083,1472,17,3.34
NGC720_S38,28.247417,-13.732528,1759,11,0.46
NGC720_S39,28.268833,-13.772778,1796,8,2.27
NGC720_S40,28.244042,-13.836083,1667,10,5.86
NGC720_S41,28.290167,-13.813917,1836,11,5.03
NGC720_S42,28.249292,-13.730556,1749,20,0.51
NGC720_S43,28.235208,-13.727722,1867,16,1.18
NGC720_S44,28.252333,-13.711222,1592,11,1.65
NGC720_S45,28.236083,-13.743861,2072,17,0.98
NGC720_S46,28.235333,-13.729889,1862,16,1.11
NGC720_S47,28.26325,-13.701583,1488,15,2.32
NGC720_S48,28.278125,-13.733,1622,15,1.56
NGC720_S49,28.253333,-13.722,1889,17,1
NGC720_S50,28.2555,-13.745361,1844,28,0.45
NGC720_S51,28.25775,-13.707667,1766,34,1.89
NGC720_S52,28.243083,-13.718667,1854,15,1.31
NGC720_S53,28.2655,-13.713278,1791,22,1.71
NGC720_S54,28.255375,-13.738583,1754,33,0.19
NGC720_S55,28.23475,-13.702833,2020,22,2.37
NGC720_S56,28.25075,-13.733806,1696,29,0.3
NGC720_S57,28.255042,-13.743333,1678,42,0.33
NGC720_S58,28.264375,-13.869639,1775,12,7.89
NGC720_S59,28.250711,-13.728597,1159,10,0.61
NGC720_S60,28.243027,-13.712722,1838,20,1.64
NGC720_S61,28.215002,-13.708167,1796,12,2.83
NGC720_S62,28.242208,-13.778528,1521,20,2.46
NGC720_S63,28.231542,-13.758111,1929,21,1.67
NGC720_S64,28.247507,-13.755751,2174,19,1.06
NGC720_S65,28.3269,-13.7674,1761,9,4.69
NGC821_S1,32.10394,10.913226,1902,14,4.99
NGC821_S2,32.07565,10.93362,1645,20,3.75
NGC821_S3,32.08227,10.949268,1748,13,2.76
NGC821_S4,32.071679,10.954449,1534,19,2.61
NGC821_S5,32.068885,10.955774,1665,10,2.61
NGC821_S6,32.015688,10.956279,1803,29,4.85
NGC821_S7,32.112939,10.958524,1628,21,2.63
NGC821_S8,32.159607,10.960603,1795,9,4.69
NGC821_S9,32.07364,10.961667,1592,7,2.17
NGC821_S10,32.102752,10.961918,1728,5,2.16
NGC821_S11,32.079706,10.96366,1785,9,1.94
NGC821_S12,32.129169,10.965797,1677,6,2.98
NGC821_S13,32.045327,10.966534,1738,10,3.04
NGC821_S14,32.110314,10.969044,1785,6,2.03
NGC821_S15,32.050641,10.969076,1833,6,2.7
NGC821_S16,32.073135,10.971697,1723,23,1.65
NGC821_S17,32.101372,10.97535,2015,8,1.41
NGC821_S18,32.087529,10.976055,1675,10,1.13
NGC821_S19,32.100074,10.979469,1765,8,1.17
NGC821_S20,32.060981,10.980574,1925,18,1.81
NGC821_S21,32.086128,10.98207,1480,5,0.78
NGC821_S22,32.092631,10.982522,1635,16,0.79
NGC821_S23,32.054852,10.982508,1867,5,2.09
NGC821_S24,32.058179,10.982843,1795,7,1.9
NGC821_S25,32.095624,10.984995,2066,8,0.74
NGC821_S26,32.107012,10.984967,1883,23,1.26
NGC821_S27,32.093112,10.987475,1838,19,0.54
NGC821_S28,32.070119,10.990345,2028,15,1.09
NGC821_S29,32.100385,10.990799,1592,6,0.77
NGC821_S30,32.103608,10.99137,1559,10,0.94
NGC821_S31,32.078744,10.991353,1639,14,0.59
NGC821_S32,32.082611,10.992151,1520,8,0.36
NGC821_S33,32.072959,10.994271,1633,11,0.89
NGC821_S34,32.040183,10.995122,1921,15,2.82
NGC821_S35,32.117973,10.995794,1691,9,1.76
NGC821_S36,32.106454,10.995846,1496,14,1.08
NGC821_S37,32.13804,10.996088,1843,12,2.94
NGC821_S38,32.097021,10.997448,2091,5,0.55
NGC821_S39,32.105749,10.99819,1940,8,1.06
NGC821_S40,32.127605,11.002715,1818,13,2.37
NGC821_S41,32.102604,11.004729,1498,8,1.04
NGC821_S42,32.140598,11.006166,1947,14,3.17
NGC821_S43,32.111207,11.006682,1884,10,1.53
NGC821_S44,32.106289,11.010496,1882,7,1.42
NGC821_S45,32.168453,11.012099,1686,7,4.84
NGC821_S46,32.138218,11.012697,1648,10,3.14
NGC821_S47,32.144063,11.039267,1786,7,4.24
NGC821_S48,32.103624,11.052164,1872,14,3.55
NGC821_S49,32.06594,11.072019,1806,11,4.81
NGC821_S50,32.077445,11.023611,1303,9,1.83
NGC821_S51,32.100454,11.014905,1860,23,1.4
NGC821_S52,32.105483,10.991466,1915,9,1.05
NGC821_S53,32.010312,10.973097,1705,13,4.76
NGC821_S54,32.095029,10.988344,1749,10,0.57
NGC821_S55,32.076662,10.963391,1753,13,2.01
NGC821_S56,32.070637,10.973575,1650,24,1.64
NGC821_S57,32.117104,11.004969,1782,9,1.81
NGC821_S58,32.059377,10.990688,2135,16,1.71
NGC821_S59,32.084082,11.00659,1688,12,0.74
NGC821_S60,32.091492,10.994256,1763,7,0.2
NGC821_S61,32.049792,10.951548,1421,24,3.44
NGC821_S62,32.068063,11.004951,1529,25,1.32
NGC821_S63,32.087277,11.02304,1597,20,1.69
NGC821_S64,32.123714,11.056872,1688,17,4.27
NGC821_S65,32.079553,11.001025,1694,20,0.62
NGC821_S66,32.076214,10.9918,1563,11,0.72
NGC821_S67,32.0507,10.967,1805,25,2.77
NGC821_S68,32.1093,11.061,1904,21,4.16
NGC7457_S1,345.250875,30.127806,725,9,1.03
NGC7457_S2,345.255042,30.139889,741,8,0.41
NGC7457_S3,345.250417,30.1405,800,18,0.27
NGC7457_S4,345.247208,30.142361,838,6,0.2
NGC7457_S5,345.252167,30.148611,719,25,0.25
NGC7457_S6,345.223792,30.127722,782,20,1.7
NGC7457_S7,345.222333,30.145139,766,21,1.42
NGC7457_S8,345.223333,30.155528,927,10,1.51
NGC7457_S9,345.251208,30.159917,931,8,0.9
NGC7457_S10,345.296292,30.17125,866,5,2.89
NGC7457_S11,345.278042,30.120111,726,11,2.09
NGC7457_S12,345.246792,30.148222,881,7,0.25
NGC7457_S13,345.290708,30.113778,819,6,2.83
NGC7457_S14,345.251208,30.14625,776,12,0.11
NGC7457_S15,345.267167,30.133472,766,4,1.14
NGC7457_S16,345.220417,30.167778,951,18,2.05
NGC7457_S17,345.26875,30.147472,750,7,1
NGC7457_S18,345.25975,30.149333,854,10,0.58
NGC7457_S19,345.235917,30.157361,944,8,1.03
NGC7457_S20,345.252333,30.14847,769,22,0.25
NGC7457_S21,345.243083,30.15773,908,11,0.84
NGC7457_S22,345.265916,30.13598,810,12,1
NGC7457_S23,345.274958,30.1219,776,13,1.9
NGC7457_S24,345.24525,30.14886,873,18,0.33
NGC7457_S25,345.258625,30.1246,725,21,1.3
NGC7457_S26,345.205458,30.12306,865,17,2.65
NGC7457_S27,345.229583,30.17254,868,35,1.96
NGC7457_S28,345.208499,30.14853,918,41,2.15
NGC7457_S29,345.262833,30.13902,768,20,0.77
NGC7457_S30,345.246458,30.15588,943,11,0.68
NGC7457_S31,345.255541,30.15564,910,14,0.71
NGC7457_S32,345.255291,30.13131,749,30,0.87
NGC7457_S33,345.225916,30.15635,969,21,1.41
NGC7457_S34,345.223833,30.13131,823,25,1.57
NGC7457_S35,345.233875,30.15663,946,24,1.08
NGC7457_S36,345.251375,30.1598,927,8,0.9
NGC7457_S37,345.220833,30.14558,871,17,1.5
NGC7457_S38,345.247375,30.14245,837,7,0.19
NGC7457_S39,345.25325,30.14647,814,9,0.2
NGC7457_S40,345.245541,30.14561,923,14,0.22
  NGC5866_GC1,226.682364,55.765074,908,22,2.01
  NGC5866_GC2,226.677262,55.754803,674,14,1.9
  NGC5866_GC3,226.644844,55.749102,756,16,1.12
  NGC5866_GC4,226.640015,55.757062,877,26,0.69
  NGC5866_GC5,226.636025,55.751095,854,12,0.85
  NGC5866_GC6,226.635505,55.765282,397,10,0.44
  NGC5866_GC7,226.631514,55.760208,754,46,0.34
  NGC5866_GC8,226.61676,55.756633,659,10,0.45
  NGC5866_GC9,226.615639,55.774013,840,11,0.69
  NGC5866_GC10,226.610369,55.76453,542,13,0.43
  NGC5866_GC11,226.61011,55.784406,876,45,1.34
  NGC5866_GC12,226.594948,55.783584,689,18,1.54
  NGC5866_GC13,226.596984,55.782448,412,15,1.45
  NGC5866_GC14,226.581821,55.753688,699,41,1.5
  NGC5866_GC15,226.587626,55.769946,758,24,1.26
  NGC5866_GC16,226.682131,55.706306,644,18,3.96
  NGC5866_GC17,226.654464,55.71325,669,11,3.18
  NGC5866_GC18,226.749339,55.715944,857,31,5.12
  NGC5866_GC19,226.722172,55.71825,728,19,4.3
