Name,RA,Dec,V,V_err,g,g_err,r,r_err,i,i_err
NGC0821_GC1   ,32.10394,10.913226,1902,14,24.031,0.102,23.247,0.044,22.99,0.037
NGC0821_GC2   ,32.07565,10.93362,1645,20,23.08,0.057,22.672,0.032,22.418,0.03
NGC0821_GC3   ,32.08227,10.949268,1748,13,23.497,0.08,23.052,0.044,22.836,0.033
NGC0821_GC4   ,32.071679,10.954449,1534,19,23.766,0.087,22.882,0.033,22.852,0.035
NGC0821_GC5   ,32.068885,10.955774,1665,10,23.675,0.075,22.751,0.031,22.375,0.024
NGC0821_GC6   ,32.015688,10.956279,1803,29,24.167,0.112,23.495,0.047,23.39,0.044
NGC0821_GC7   ,32.112939,10.958524,1628,21,23.195,0.055,22.53,0.027,22.233,0.023
NGC0821_GC8   ,32.159607,10.960603,1795,9,23.661,0.063,23.068,0.035,22.886,0.035
NGC0821_GC9   ,32.07364,10.961667,1592,7,22.545,0.035,21.743,0.021,21.488,0.018
NGC0821_GC10  ,32.102752,10.961918,1728,5,22.711,0.038,21.805,0.02,21.445,0.017
NGC0821_GC11  ,32.079706,10.96366,1785,9,23.544,0.079,22.647,0.031,22.323,0.026
NGC0821_GC12  ,32.129169,10.965797,1677,6,23.957,0.085,23.011,0.033,22.588,0.023
NGC0821_GC13  ,32.045327,10.966534,1738,10,23.219,0.052,22.479,0.027,22.217,0.023
NGC0821_GC14  ,32.110314,10.969044,1785,6,23.228,0.054,22.429,0.026,22.174,0.021
NGC0821_GC15  ,32.050641,10.969076,1833,6,21.763,0.023,20.929,0.018,20.707,0.015
NGC0821_GC16  ,32.073135,10.971697,1723,23,23.336,0.073,22.889,0.042,22.619,0.031
NGC0821_GC17  ,32.101372,10.97535,2015,8,22.516,0.038,21.895,0.021,21.674,0.018
NGC0821_GC18  ,32.087529,10.976055,1675,10,24.244,0.208,23.135,0.086,22.589,0.049
NGC0821_GC19  ,32.100074,10.979469,1765,8,22.083,0.032,21.515,0.022,21.273,0.018
NGC0821_GC20  ,32.060981,10.980574,1925,18,23.319,0.065,22.607,0.029,22.248,0.023
NGC0821_GC21  ,32.086128,10.98207,1480,5,21.18,0.029,20.337,0.023,20.002,0.019
NGC0821_GC22  ,32.092631,10.982522,1635,16,23.627,0.152,22.727,0.098,22.488,0.073
NGC0821_GC23  ,32.054852,10.982508,1867,5,22.422,0.033,21.311,0.018,20.898,0.015
NGC0821_GC24  ,32.058179,10.982843,1795,7,22.384,0.032,21.571,0.019,21.235,0.016
NGC0821_GC25  ,32.095624,10.984995,2066,8,22.997,0.101,22.033,0.054,21.951,0.053
NGC0821_GC26  ,32.107012,10.984967,1883,23,22.921,0.088,22.543,0.063,22.324,0.045
NGC0821_GC27  ,32.093112,10.987475,1838,19,22.589,0.127,21.845,0.099,21.625,0.078
NGC0821_GC28  ,32.086091,10.990721,1705,6,20.057,0.067,19.395,0.064,19.458,0.067
NGC0821_GC29  ,32.070119,10.990345,2028,15,23.227,0.084,22.596,0.049,22.181,0.031
NGC0821_GC30  ,32.100385,10.990799,1592,6,22.859,0.083,21.998,0.047,21.624,0.033
NGC0821_GC31  ,32.103608,10.99137,1559,10,22.906,0.069,22.366,0.047,22.117,0.038
NGC0821_GC32  ,32.078744,10.991353,1639,14,22.256,0.088,21.454,0.071,21.395,0.065
NGC0821_GC33  ,32.082611,10.992151,1520,8,21.24,0.12,20.489,0.108,20.328,0.088
NGC0821_GC34  ,32.072959,10.994271,1633,11,22.085,0.039,21.428,0.03,21.191,0.025
NGC0821_GC35  ,32.040183,10.995122,1921,15,23.6,0.076,22.75,0.027,22.477,0.024
NGC0821_GC36  ,32.117973,10.995794,1691,9,23.373,0.057,22.869,0.033,22.565,0.028
NGC0821_GC37  ,32.106454,10.995846,1496,14,23.52,0.102,22.507,0.043,22.194,0.032
NGC0821_GC38  ,32.13804,10.996088,1843,12,23.527,0.059,22.816,0.034,22.625,0.03
NGC0821_GC39  ,32.097021,10.997448,2091,5,21.246,0.046,20.443,0.037,20.252,0.029
NGC0821_GC40  ,32.105749,10.99819,1940,8,21.459,0.026,20.657,0.019,20.438,0.016
NGC0821_GC41  ,32.127605,11.002715,1818,13,23.794,0.07,23.233,0.037,23.136,0.041
NGC0821_GC42  ,32.102604,11.004729,1498,8,22.451,0.047,21.657,0.032,21.487,0.026
NGC0821_GC43  ,32.140598,11.006166,1947,14,23.66,0.066,23.108,0.038,22.774,0.03
NGC0821_GC44  ,32.111207,11.006682,1884,10,23.79,0.099,23.02,0.043,22.783,0.038
NGC0821_GC45  ,32.106289,11.010496,1882,7,22.336,0.035,21.63,0.022,21.39,0.019
NGC0821_GC46  ,32.168453,11.012099,1686,7,23.162,0.041,22.284,0.022,22.033,0.019
NGC0821_GC47  ,32.138218,11.012697,1648,10,23.42,0.053,22.531,0.027,22.283,0.021
NGC0821_GC48  ,32.144063,11.039267,1786,7,22.172,0.027,21.591,0.02,21.348,0.016
NGC0821_GC49  ,32.103624,11.052164,1872,14,23.149,0.044,22.476,0.026,22.162,0.021
NGC0821_GC50  ,32.06594,11.072019,1806,11,23.876,0.071,23.164,0.038,22.844,0.03
NGC0821_GC51  ,32.077445,11.023611,1303,9,22.775,0.018,22.058,0.02,21.839,0.017
NGC0821_GC52  ,32.100454,11.014905,1860,23,23.27,0.035,22.363,0.031,22.018,0.023
NGC0821_GC53  ,32.105483,10.991466,1915,9,23.453,0.034,22.59,0.033,22.277,0.025
NGC0821_GC54  ,32.010312,10.973097,1705,13,23.428,0.028,22.746,0.032,22.508,0.022
NGC0821_GC55  ,32.095029,10.988344,1749,10,23.623,0.108,22.986,0.124,22.761,0.144
NGC0821_GC56  ,32.076662,10.963391,1753,13,24.287,0.065,23.601,0.076,23.286,0.046
NGC0821_GC57  ,32.070637,10.973575,1650,24,24.643,0.102,23.68,0.087,23.336,0.056
NGC0821_GC58  ,32.117104,11.004969,1782,9,24.346,0.068,23.78,0.091,23.525,0.064
NGC1400_GC1  ,54.862196,-18.629069,610,6,21.588,0.009,20.974,0.009,20.717,0.009
NGC1400_GC2  ,54.813729,-18.547564,617,11,21.727,0.027,21.102,0.024,20.856,0.025
NGC1400_GC3  ,54.8815,-18.761608,824,16,21.834,0.009,21.289,0.009,21.075,0.01
NGC1400_GC4  ,54.900954,-18.690822,722,23,22.186,0.012,21.638,0.009,21.414,0.011
NGC1400_GC5  ,54.884983,-18.777325,607,52,22.306,0.008,21.782,0.01,21.577,0.009
NGC1400_GC6  ,54.872904,-18.660333,344,10,22.712,0.025,21.972,0.025,21.607,0.03
NGC1400_GC7  ,54.883217,-18.682536,796,16,22.908,0.01,22.102,0.008,21.687,0.008
NGC1400_GC8  ,54.884929,-18.704814,482,12,22.953,0.005,22.128,0.006,21.727,0.008
NGC1400_GC9  ,54.895846,-18.737467,550,16,22.949,0.007,22.205,0.006,21.867,0.008
NGC1400_GC10 ,54.859367,-18.671383,543,16,22.888,0.006,22.205,0.008,21.881,0.008
NGC1400_GC11 ,54.884558,-18.714133,411,15,23.101,0.004,22.3,0.005,21.93,0.008
NGC1400_GC12 ,54.849513,-18.667017,543,21,22.824,0.006,22.266,0.006,22.029,0.008
NGC1400_GC13 ,54.935963,-18.748683,685,26,23.13,0.006,22.453,0.007,22.129,0.01
NGC1400_GC14 ,54.864813,-18.691531,503,14,23.135,0.006,22.454,0.009,22.135,0.009
NGC1400_GC15 ,54.861333,-18.699094,500,23,23.328,0.005,22.573,0.006,22.201,0.009
NGC1400_GC16 ,54.843146,-18.728006,794,20,23.424,0.014,22.704,0.01,22.365,0.011
NGC1400_GC17 ,54.875954,-18.666658,603,21,23.481,0.007,22.735,0.006,22.382,0.007
NGC1400_GC18 ,54.845754,-18.651192,606,19,23.186,0.006,22.645,0.006,22.418,0.006
NGC1400_GC19 ,54.864517,-18.639625,548,17,23.521,0.008,22.778,0.008,22.438,0.009
NGC1400_GC20 ,54.868158,-18.678494,670,23,23.684,0.005,22.858,0.007,22.454,0.011
NGC1400_GC21 ,54.888867,-18.690342,596,16,23.611,0.006,22.874,0.007,22.512,0.011
NGC1400_GC22 ,54.875358,-18.647114,601,35,23.539,0.008,22.836,0.006,22.533,0.008
NGC1400_GC23 ,54.869904,-18.687697,515,7,21.793,0.009,20.957,0.011,20.565,0.009
NGC1400_GC24 ,54.853296,-18.710706,887,20,23.085,0.006,22.52,0.007,22.286,0.009
NGC1400_GC25 ,54.878796,-18.694542,756,9,21.648,0.032,21.036,0.025,20.804,0.027
NGC1400_GC26 ,54.884429,-18.673489,625,10,22.327,0.006,21.547,0.006,21.163,0.007
NGC1400_GC27 ,54.882954,-18.681,741,9,22.443,0.01,21.682,0.005,21.307,0.011
NGC1400_GC28 ,54.860083,-18.66765,782,9,22.232,0.009,21.596,0.008,21.347,0.011
NGC1400_GC29 ,54.884354,-18.685481,665,12,22.659,0.011,21.854,0.009,21.45,0.012
NGC1400_GC30 ,54.915917,-18.653469,414,8,22.277,0.011,21.75,0.008,21.51,0.008
NGC1400_GC31 ,54.895254,-18.652672,645,11,22.434,0.007,21.821,0.006,21.564,0.007
NGC1400_GC32 ,54.864771,-18.704642,407,12,22.843,0.009,22.032,0.008,21.642,0.009
NGC1400_GC33 ,54.891025,-18.678414,414,11,22.724,0.007,22.047,0.01,21.707,0.01
NGC1400_GC34 ,54.910633,-18.666447,624,11,22.818,0.005,22.101,0.005,21.751,0.005
NGC1400_GC35 ,54.833925,-18.70865,554,22,22.743,0.004,22.094,0.004,21.822,0.006
NGC1400_GC36 ,54.90475,-18.657381,571,11,22.75,0.006,22.133,0.006,21.861,0.009
NGC1400_GC37 ,54.876133,-18.697756,705,14,22.962,0.007,22.283,0.008,22,0.011
NGC1400_GC38 ,54.949604,-18.663506,425,12,23.402,0.006,22.585,0.004,22.179,0.008
NGC1400_GC39 ,54.934338,-18.664392,604,14,23.073,0.017,22.551,0.014,22.32,0.014
NGC1400_GC40 ,54.877583,-18.638608,645,17,23.199,0.008,22.589,0.006,22.335,0.008
NGC1400_GC41 ,54.834775,-18.697242,424,28,23.328,0.007,22.71,0.01,22.448,0.007
NGC1400_GC42 ,54.920258,-18.689811,692,19,23.679,0.005,22.932,0.006,22.541,0.005
NGC1400_GC43 ,54.875304,-18.677675,762,36,23.681,0.01,22.951,0.011,22.604,0.012
NGC1400_GC44 ,54.947667,-18.621214,872,15,23.62,0.006,22.927,0.009,22.61,0.007
NGC1400_GC45 ,54.867704,-18.698006,861,27,23.566,0.009,22.976,0.015,22.761,0.012
NGC1400_GC46 ,54.926142,-18.667911,489,15,23.052,0.016,22.53,0.018,22.301,0.016
NGC1400_GC47 ,54.876371,-18.669856,569,9,22.819,0.008,22.067,0.007,21.707,0.009
NGC1400_GC48 ,54.896,-18.704964,444,11,22.717,0.004,22.159,0.006,21.917,0.007
NGC1400_GC49 ,54.878933,-18.693725,615,9,21.725,0.024,20.989,0.025,20.636,0.031
NGC1400_GC50 ,55.017471,-18.719286,722,14,22.263,0.018,21.693,0.015,21.44,0.016
NGC1400_GC51 ,54.885325,-18.683881,573,32,22.537,0.006,21.904,0.008,21.621,0.012
NGC1400_GC52 ,54.978258,-18.686467,616,16,22.857,0.009,22.075,0.009,21.683,0.007
NGC1400_GC53 ,54.920892,-18.686933,506,15,22.582,0.009,21.992,0.007,21.729,0.009
NGC1400_GC54 ,54.842883,-18.708661,445,41,22.853,0.007,22.204,0.007,21.913,0.007
NGC1400_GC55 ,54.856667,-18.687528,402,25,23.356,0.01,22.497,0.01,22.082,0.01
NGC1400_GC56 ,54.871029,-18.691017,534,24,23.324,0.007,22.527,0.006,22.129,0.012
NGC1400_GC57 ,54.831725,-18.707242,511,14,23.288,0.004,22.595,0.006,22.282,0.005
NGC1400_GC58 ,54.937313,-18.703342,475,32,23.411,0.005,22.707,0.007,22.364,0.009
NGC1400_GC59 ,54.906963,-18.704011,712,32,23.49,0.005,22.866,0.007,22.553,0.009
NGC1400_GC60 ,54.900771,-18.70505,440,13,23.44,0.007,22.572,0.007,22.171,0.008
NGC1400_GC61 ,54.883854,-18.6612,594,11,22.997,0.005,22.397,0.007,22.144,0.007
NGC1400_GC62 ,54.886496,-18.683831,836,11,23.237,0.005,22.497,0.013,22.139,0.013
NGC1400_GC63 ,54.894817,-18.720925,401,10,23.275,0.004,22.519,0.007,22.138,0.008
NGC1400_GC64 ,54.917317,-18.799769,720,29,22.815,0.01,22.283,0.011,22.047,0.005
NGC1400_GC65 ,54.841217,-18.652475,712,7,23.097,0.008,22.384,0.01,22.039,0.01
NGC1400_GC66 ,54.883375,-18.673314,569,14,22.588,0.011,22.046,0.005,21.825,0.011
NGC1400_GC67 ,54.90875,-18.7419,483,8,22.271,0.006,21.654,0.007,21.391,0.008
NGC1400_GC68 ,54.860067,-18.657733,725,8,22.058,0.009,21.469,0.008,21.224,0.01
NGC1400_GC69 ,54.887617,-18.718217,535,31,23.231,0.006,22.603,0.007,22.334,0.009
NGC1407_GC1   ,55.007179,-18.630067,2110,5,21.282,0.014,20.622,0.009,20.286,0.011
NGC1407_GC2   ,55.031092,-18.499864,1436,12,23.671,0.015,22.817,0.01,22.392,0.011
NGC1407_GC3   ,55.052983,-18.594181,1883,7,22.541,0.006,21.766,0.007,21.366,0.006
NGC1407_GC4   ,55.060592,-18.592561,1509,5,22.538,0.007,21.703,0.009,21.289,0.01
NGC1407_GC5   ,55.074404,-18.552261,2008,6,22.415,0.005,21.693,0.004,21.34,0.009
NGC1407_GC6   ,55.217613,-18.502664,1966,5,21.363,0.02,20.723,0.018,20.423,0.025
NGC1407_GC7   ,54.986208,-18.603747,1951,6,21.687,0.008,20.978,0.01,20.637,0.007
NGC1407_GC8   ,55.05315,-18.607761,2090,8,22.317,0.009,21.564,0.009,21.184,0.01
NGC1407_GC9   ,55.193054,-18.454867,1572,11,23.515,0.007,22.789,0.006,22.421,0.006
NGC1407_GC10  ,55.064321,-18.564747,1861,11,23.306,0.009,22.457,0.007,22.031,0.01
NGC1407_GC11  ,55.058108,-18.5202,1539,10,23.283,0.02,22.514,0.013,22.149,0.017
NGC1407_GC12  ,55.062392,-18.586753,1941,6,22.175,0.081,21.179,0.058,20.908,0.077
NGC1407_GC13  ,55.212796,-18.529633,1952,6,22.313,0.01,21.694,0.009,21.407,0.013
NGC1407_GC14  ,55.069467,-18.637011,2118,8,22.297,0.015,21.691,0.013,21.436,0.016
NGC1407_GC15  ,54.954846,-18.599958,1163,14,22.583,0.016,22.033,0.013,21.806,0.01
NGC1407_GC16  ,54.992904,-18.571936,1639,7,22.822,0.006,21.989,0.004,21.59,0.004
NGC1407_GC17  ,55.0888,-18.499869,1448,20,23.605,0.006,23.046,0.006,22.811,0.007
NGC1407_GC18  ,54.993075,-18.582139,1804,8,23.408,0.006,22.625,0.006,22.226,0.007
NGC1407_GC19  ,55.044117,-18.607786,1271,6,21.867,0.006,21.149,0.007,20.814,0.008
NGC1407_GC20  ,55.016133,-18.641644,1683,7,21.45,0.009,20.838,0.009,20.552,0.007
NGC1407_GC21  ,55.003546,-18.555119,1928,7,22.669,0.006,22.116,0.007,21.869,0.005
NGC1407_GC22  ,54.973342,-18.602131,2172,12,23.173,0.012,22.393,0.01,22.009,0.005
NGC1407_GC23  ,55.060754,-18.577442,1733,13,22.51,0.011,21.89,0.01,21.592,0.011
NGC1407_GC24  ,55.050771,-18.556286,1646,8,22.756,0.01,22.123,0.008,21.82,0.01
NGC1407_GC25  ,54.977563,-18.585611,2134,10,22.83,0.014,22.259,0.014,21.996,0.011
NGC1407_GC26  ,55.047433,-18.607422,1865,11,22.143,0.016,21.525,0.012,21.24,0.014
NGC1407_GC27  ,55.075292,-18.662781,1793,13,23.506,0.003,22.742,0.004,22.349,0.004
NGC1407_GC28  ,54.943633,-18.540686,1861,12,22.483,0.007,21.863,0.008,21.571,0.005
NGC1407_GC29  ,55.110621,-18.653825,1528,8,22.385,0.009,21.676,0.007,21.312,0.007
NGC1407_GC30  ,55.061233,-18.646342,1675,11,22.72,0.022,22.074,0.019,21.788,0.022
NGC1407_GC31  ,55.006721,-18.546906,1409,21,23.263,0.008,22.646,0.01,22.362,0.006
NGC1407_GC32  ,55.141879,-18.589853,1739,12,22.757,0.008,22.09,0.007,21.763,0.009
NGC1407_GC33  ,55.073625,-18.622508,1624,7,22.505,0.005,21.811,0.007,21.473,0.004
NGC1407_GC34  ,55.152913,-18.465175,1728,10,23.052,0.013,22.324,0.012,21.983,0.013
NGC1407_GC35  ,55.056321,-18.504475,1834,7,22.327,0.015,21.766,0.012,21.516,0.011
NGC1407_GC36  ,54.995017,-18.595053,1820,9,22.601,0.005,21.858,0.008,21.466,0.008
NGC1407_GC37  ,55.089896,-18.530094,1769,12,22.913,0.016,22.344,0.013,22.07,0.014
NGC1407_GC38  ,55.080642,-18.5159,1892,10,23.034,0.01,22.406,0.006,22.128,0.007
NGC1407_GC39  ,55.1256,-18.455764,2062,17,23.496,0.011,22.948,0.008,22.688,0.012
NGC1407_GC40  ,55.129354,-18.521442,2233,13,23.007,0.013,22.462,0.009,22.22,0.01
NGC1407_GC41  ,54.99285,-18.523456,1980,5,21.499,0.009,20.792,0.007,20.426,0.004
NGC1407_GC42  ,55.075333,-18.689406,1797,11,23.011,0.019,22.294,0.018,21.933,0.019
NGC1407_GC43  ,55.052587,-18.535764,1679,12,22.823,0.007,22.185,0.007,21.91,0.011
NGC1407_GC44  ,55.055021,-18.591833,1892,17,22.647,0.01,22.048,0.012,21.789,0.014
NGC1407_GC45  ,55.098458,-18.529361,2154,14,23.345,0.009,22.768,0.009,22.51,0.008
NGC1407_GC46  ,55.0129,-18.632664,1812,8,22.023,0.006,21.352,0.007,21.016,0.006
NGC1407_GC47  ,55.1388,-18.539472,1785,47,23.553,0.009,23.048,0.008,22.838,0.008
NGC1407_GC48  ,55.108821,-18.621803,1605,6,21.705,0.016,20.997,0.015,20.664,0.011
NGC1407_GC49  ,55.047625,-18.533542,1632,13,23.216,0.008,22.614,0.008,22.358,0.011
NGC1407_GC50  ,55.157004,-18.531033,1792,14,23.046,0.005,22.451,0.007,22.172,0.006
NGC1407_GC51  ,55.061338,-18.541808,1924,5,22.064,0.011,21.304,0.008,20.923,0.013
NGC1407_GC52  ,55.044963,-18.623736,1586,8,22.655,0.008,21.926,0.011,21.595,0.011
NGC1407_GC53  ,55.206379,-18.567425,1848,9,22.705,0.006,21.918,0.007,21.526,0.009
NGC1407_GC54  ,55.126458,-18.569978,1439,5,21.882,0.008,21.108,0.004,20.722,0.006
NGC1407_GC55  ,55.116954,-18.522775,1928,13,23.538,0.006,22.746,0.007,22.351,0.008
NGC1407_GC56  ,55.121188,-18.493606,1430,15,23.263,0.015,22.735,0.016,22.462,0.019
NGC1407_GC57  ,55.115942,-18.481211,2160,9,22.472,0.006,21.87,0.008,21.597,0.007
NGC1407_GC58  ,55.157283,-18.472922,1726,24,24.389,0.006,23.62,0.007,23.187,0.008
NGC1407_GC59  ,55.127479,-18.50465,1587,10,22.972,0.004,22.285,0.005,21.97,0.007
NGC1407_GC60  ,55.072438,-18.613733,1943,14,23.474,0.007,22.712,0.007,22.337,0.01
NGC1407_GC61  ,55.111121,-18.499972,2002,13,23.494,0.006,22.939,0.005,22.68,0.007
NGC1407_GC62  ,55.0843,-18.570969,1461,11,23.487,0.007,22.762,0.008,22.425,0.01
NGC1407_GC63  ,54.9661,-18.577414,1726,17,23.309,0.009,22.594,0.007,22.27,0.009
NGC1407_GC64  ,54.974175,-18.615147,1679,12,22.02,0.015,21.462,0.013,21.227,0.01
NGC1407_GC65  ,55.062567,-18.43105,1945,23,24.448,0.007,23.617,0.006,23.163,0.005
NGC1407_GC66  ,55.053421,-18.453031,1446,15,22.944,0.013,22.402,0.014,22.145,0.011
NGC1407_GC67  ,54.985521,-18.512189,1699,9,23.198,0.003,22.361,0.006,21.912,0.004
NGC1407_GC68  ,55.093542,-18.626689,1693,7,21.616,0.01,20.994,0.009,20.715,0.005
NGC1407_GC69  ,55.13695,-18.475672,1395,13,24.51,0.009,23.738,0.013,23.405,0.01
NGC1407_GC70  ,55.149946,-18.545831,1727,10,22.918,0.007,22.144,0.007,21.765,0.008
NGC1407_GC71  ,55.02415,-18.593656,1556,5,22.23,0.007,21.541,0.005,21.22,0.006
NGC1407_GC72  ,54.935825,-18.571058,1965,15,23.379,0.006,22.583,0.005,22.196,0.005
NGC1407_GC73  ,55.141692,-18.598661,1987,6,21.822,0.016,21.07,0.012,20.691,0.015
NGC1407_GC74  ,55.058663,-18.585781,1646,15,22.662,0.01,21.972,0.011,21.651,0.016
NGC1407_GC75  ,55.048158,-18.537733,1729,15,22.22,0.007,21.625,0.008,21.378,0.012
NGC1407_GC76  ,55.2066,-18.537133,1620,30,23.742,0.016,23.169,0.012,22.922,0.018
NGC1407_GC77  ,55.004646,-18.569419,1466,12,23.345,0.005,22.584,0.007,22.168,0.005
NGC1407_GC78  ,55.067583,-18.613769,1421,20,23.469,0.009,22.68,0.009,22.273,0.013
NGC1407_GC79  ,55.108888,-18.614992,1620,8,22.299,0.004,21.656,0.007,21.36,0.006
NGC1407_GC80  ,55.037004,-18.551039,1331,19,23.743,0.009,23.114,0.011,22.887,0.012
NGC1407_GC81  ,54.985538,-18.578114,1557,16,23.253,0.005,22.764,0.007,22.529,0.008
NGC1407_GC82  ,54.979742,-18.598006,1957,36,22.274,0.008,21.48,0.008,21.078,0.007
NGC1407_GC83  ,54.964438,-18.535003,1620,11,23.137,0.008,22.342,0.009,21.937,0.004
NGC1407_GC84  ,54.987983,-18.555689,1646,21,22.939,0.01,22.365,0.013,22.116,0.007
NGC1407_GC85  ,55.007504,-18.544203,2048,10,22.577,0.024,21.936,0.03,21.614,0.035
NGC1407_GC86  ,55.052604,-18.563853,1708,21,22.782,0.004,22.237,0.008,21.982,0.011
NGC1407_GC87  ,55.159546,-18.612483,1656,13,22.468,0.009,21.87,0.007,21.578,0.011
NGC1407_GC88  ,55.005404,-18.610122,1934,7,22.179,0.006,21.458,0.006,21.081,0.005
NGC1407_GC89  ,55.1937,-18.570331,1508,25,23.365,0.005,22.757,0.006,22.484,0.008
NGC1407_GC90  ,55.065921,-18.541622,1665,5,21.359,0.01,20.615,0.007,20.245,0.012
NGC1407_GC91  ,55.126258,-18.476658,1965,13,23.206,0.005,22.429,0.005,22.053,0.007
NGC1407_GC92  ,55.080117,-18.476456,1493,26,23.6,0.01,23.071,0.008,22.799,0.007
NGC1407_GC93  ,54.990187,-18.623542,1928,8,22.287,0.008,21.595,0.009,21.26,0.008
NGC1407_GC94  ,55.03265,-18.599411,1784,10,22.65,0.006,21.949,0.006,21.628,0.009
NGC1407_GC95  ,55.054508,-18.550292,1649,9,22.618,0.005,22.021,0.009,21.779,0.013
NGC1407_GC96  ,55.123679,-18.563264,1608,24,22.671,0.011,22.121,0.01,21.882,0.009
NGC1407_GC97  ,55.117383,-18.537283,1379,12,23.314,0.007,22.607,0.006,22.252,0.009
NGC1407_GC98  ,55.062525,-18.587014,1932,6,21.943,0.011,21.181,0.012,20.798,0.016
NGC1407_GC99  ,55.064013,-18.502889,2077,7,21.879,0.017,21.32,0.016,21.07,0.012
NGC1407_GC100 ,55.072375,-18.477183,1725,12,23.654,0.004,22.887,0.007,22.522,0.007
NGC1407_GC101 ,55.082913,-18.575364,1931,10,22.724,0.008,22.067,0.009,21.767,0.01
NGC1407_GC102 ,55.013029,-18.54575,1939,8,22.065,0.009,21.41,0.012,21.115,0.004
NGC1407_GC103 ,55.16295,-18.456269,2030,17,23.635,0.02,23.018,0.017,22.719,0.022
NGC1407_GC104 ,55.075175,-18.542103,1676,7,22.726,0.008,22.12,0.006,21.839,0.013
NGC1407_GC105 ,55.02975,-18.615539,1733,11,22.179,0.01,21.564,0.007,21.308,0.009
