objid,ra, dec ,
UCDone,206.2903612,23.79688511,
1.23766E+18,226.6428187,1.558828273,
1.23765E+18,157.9832578,4.003327075,
1.23766E+18,166.0183444,45.27193709,
1.23767E+18,178.2860445,30.18745517,
1.23767E+18,175.9945868,19.99116939,
1.23766E+18,215.7762678,34.39209487,
1.23765E+18,187.4765559,-0.055342236,
1.23767E+18,172.6011764,23.36674143,
1.23767E+18,194.8475501,27.91956553,
1.23767E+18,204.676908,31.24919444,
1.23765E+18,187.3958044,8.057987548,
1.23767E+18,182.4535239,22.74238442,
1.23766E+18,190.3155554,11.38724022,
1.23767E+18,176.1020624,60.88407844,
