u,g,r,i,z,ra,dec,flags_r
24.77866,23.37061,21.81404,22.19235,20.93444,10.0264165248387,13.8239847089796,49539871047417856
23.40612,23.37286,21.84197,20.50341,20.20433,10.0273587696796,13.7907800811087,4503874840821832
26.87597,22.8989,21.17673,20.96432,22.0567,10.0270831760291,13.6933794459645,4503874983461192
22.13561,23.20846,22.11222,21.93795,22.13098,10.0231613555036,13.8899250155566,13511074028453888
21.945,22.312,21.29634,20.8651,20.94109,10.2157165682853,13.8539269857117,6755674587430928
24.58535,22.86705,21.988,21.47997,21.28632,10.0171393994959,13.736433644049,4503599904227584
23.43269,22.63666,22.06056,21.58557,21.66907,10.0215497722895,13.8313578371644,4503874916352256
22.72046,23.20366,21.16875,20.38741,20.07161,10.0173445958908,13.699681232231,4503874773712896
25.99755,23.56626,21.66429,21.51324,20.47993,10.0224562510725,13.8662127100077,4503874916352256
23.24735,24.75244,22.30981,21.80116,21.82236,10.0213220850649,13.7263373050913,13511074036842752
25.15501,22.83464,21.13136,20.39651,19.6642,10.2304757895589,13.8696857722988,6755674587398160
25.05057,24.80968,21.99989,21.79521,22.17628,10.2305781537925,13.8708261248252,2310346884130046232
23.78179,22.59249,21.44612,20.82912,20.76222,10.0137336757989,13.8435544270144,4503874773712896
21.5819,22.24057,20.7041,19.92172,19.59425,10.029666568183,13.8921559352045,4503874773746944
23.48024,23.46883,21.03852,20.36912,19.67392,10.0144256576226,13.6916712172333,4503874782134528
25.1984,23.03167,21.49295,20.26403,19.44976,10.0281389184373,13.8157534841495,4503874782134272
21.93849,21.0893,20.64677,20.35658,20.32484,10.5433807560769,13.8739652115436,4503874773712896
22.67356,21.43919,20.04784,19.54228,19.15908,10.5468020144848,13.8701391342165,4503874773745664
25.12501,22.43909,20.74214,20.13438,19.87552,10.5434802929013,13.8520919896374,4503874773745664
23.67604,22.0127,20.55128,20.00572,19.60041,10.5432483161732,13.8276166250783,6755674595819536
26.13811,23.27326,21.69422,21.05493,21.04165,10.4737349095959,13.8634941415522,4503874773712896
23.00076,21.3627,20.74115,20.33441,20.02576,10.5421527600915,13.8291248063925,2310346883987439640
23.19566,22.30691,20.81792,20.05021,19.60444,10.4831240444138,13.7522479684817,4503874782134272
23.19082,22.26211,21.59268,22.73304,21.19033,10.489888513679,13.7986509527935,4503874782134528
23.807,22.77872,21.98113,22.30637,21.75762,10.4828002149333,13.7059000768488,4503874773712896
24.63467,24.87311,21.12601,21.12047,22.8269,10.5674363914055,13.7887677651828,4573968673538065
24.70788,23.27131,21.7028,21.23291,21.21054,10.4949753010909,13.8203421776146,4503874983460936
24.69258,23.73762,22.04983,21.58975,21.07437,10.495587918188,13.7174840859928,4503599895805952
21.72275,21.39124,20.45565,20.16086,19.76285,10.5639470388618,13.7783395537196,4503874773745664
24.34091,21.64568,21.11309,20.72957,21.57038,10.4644073815371,13.7187749744199,2312598683801092120
24.98802,24.6549,21.6523,21.13944,20.48652,10.4655197392263,13.7200828098386,4503874773712912
25.7086,22.91011,22.179,21.92969,21.56357,10.4927004428164,13.8393882511241,4503874773712896
25.38801,22.36508,20.98027,20.626,20.00617,10.4698373547528,13.7946183758654,4503874773712896
24.44506,24.23053,22.42197,22.08117,22.40586,10.4913052010231,13.7826563879514,4503874773712896
23.21551,22.67237,21.93904,20.941,20.26656,10.4521878751098,13.7141588901726,4573968639983641
25.23253,22.71243,20.88885,20.24936,19.77135,10.4966597453351,13.8537672143245,4503874782134272
26.09536,23.58364,21.49158,20.93587,20.7107,10.4981225711646,13.8369761496497,4503874782134272
24.8908,22.88217,21.63391,21.27267,20.91351,10.4654248486455,13.7583903064237,4503874849210697
24.22081,22.46729,22.45015,22.59101,21.94519,10.4711159343661,13.7152726855003,4503874975039560
21.73722,21.8273,21.25467,21.30205,20.81245,10.4746120604026,13.838794844303,4503874849243465
24.96041,23.62454,21.57776,20.73803,20.10608,10.4968766068366,13.7248219275578,4503874773712896
24.93026,24.78797,22.22606,21.32051,20.84204,10.5404326515937,13.8156325803081,4503600030023680
22.44895,22.02334,20.60259,19.93436,19.33496,10.450473585255,13.8091975434932,49539871190057216
22.36668,22.07417,21.52222,21.09685,21.19936,10.47480768768,13.801695487611,4503874773712896
24.56954,22.87341,22.18539,21.91578,22.34773,10.4967028099228,13.7188960271171,4503874773712896
22.04852,22.37235,21.47895,22.23336,23.7958,10.4519357020901,13.7816318412673,4503874782134528
24.29329,22.62848,21.84995,21.61864,22.20879,10.4754966554398,13.7370037748728,2310346609109532688
23.3126,23.55429,22.20396,21.65341,20.51975,10.5108142995927,13.8080116069222,4503874773712896
22.66954,21.70577,20.24836,19.69467,19.1946,10.2516027799795,13.7742850927414,6755674587430936
24.63077,24.63422,21.0774,20.71131,19.96793,10.5581634999133,13.7291680326721,2312598683801124880
21.14275,20.01594,18.98536,18.56929,18.13964,10.7734213756253,13.8680223511516,4503874773876736
24.11042,21.58648,20.71017,20.31138,20.22951,10.2516071951114,13.7599654229606,13511074028486656
23.1937,23.97441,22.08457,21.87014,21.67318,10.4641651813237,13.7125791601729,4503874782134272
22.68722,21.95193,20.59355,19.9702,19.66184,10.6750199653288,13.8497336331499,4503874773745664
22.74557,21.9076,20.77106,20.06055,19.52902,10.4805477681849,13.7371893650654,6755674587430928
21.342,20.6302,20.09541,19.91088,19.79724,10.7798602314218,13.723398847487,4503874773745664
22.29483,21.33966,20.31907,19.97492,19.53748,10.6761368246039,13.8103489284127,6755674587430936
22.35699,21.449,20.14296,19.53214,19.08508,10.7540488367816,13.8445449840694,4503874773745664
21.20305,19.90687,19.08359,18.68591,18.47225,10.6810751040857,13.8362036661808,6755674587430936
23.8132,22.91378,21.94548,21.46162,22.12119,10.6766537601068,13.8091932394845,2310346609117921304
25.16302,23.66183,22.07426,21.24769,21.36328,10.5072666530455,13.7055863285008,4503874782101760
23.83801,22.40143,20.35914,19.63594,19.33453,10.7547293776602,13.828446488992,4503874782134272
23.0903,21.76967,19.99753,19.36834,18.86236,10.6522804568954,13.8084225577062,6755674587430928
22.6439,21.65372,19.99476,19.41703,18.96461,10.7054069123505,13.7299947601134,4503874773745664
25.42567,22.99201,21.30336,20.59893,20.05535,10.4711481464688,13.8638246180303,4503874773712896
24.26202,22.71348,20.95575,20.47955,20.0017,10.7118804865842,13.8596363842182,4503874773712896
25.7014,22.49493,21.73957,21.98897,20.81086,10.7055922672027,13.7444280236562,4503874782134272
23.30999,22.31492,22.37559,22.33683,21.04406,10.6961842948106,13.8289242972783,4503874916319488
23.05756,22.73119,21.5211,21.24075,20.78876,10.5457285244747,13.7108899858557,4503874773712896
23.83329,22.69111,22.33822,22.27942,22.37311,10.7004776213707,13.6851705536638,4503874773712896
23.00264,22.07524,20.97025,20.76741,20.28377,10.4812215661809,13.877238757824,4503874773712896
22.97471,22.02649,21.3979,21.48206,20.32089,10.6956610739639,13.7379902222659,4503874773712896
23.39527,21.59166,20.78996,20.62076,20.12964,10.7133875098947,13.7974943290968,4521466959888384
23.07728,22.40773,21.55881,21.07067,20.43324,10.7774465915075,13.8071469527397,4503874773745664
25.16551,23.20745,21.7844,20.48964,19.74136,10.5100020774221,13.6796093010662,4503874773745664
23.97961,22.28507,21.09281,20.68554,20.57811,10.7662785242194,13.7100679927701,4503874773712896
22.00784,21.26447,20.73006,20.36636,20.52995,10.7541508444181,13.6737263178297,4503874773745664
20.99252,19.7772,19.15948,18.88464,18.7752,10.4805908529233,13.8307852927055,4503874773746944
21.70093,20.69687,19.39951,18.87405,18.45539,10.7662176020659,13.6800125495329,4503874773745664
22.67903,21.30004,19.68464,19.10566,18.67249,10.6962019912623,13.7227015751585,6755674587430928
23.31031,22.05451,21.0359,20.60041,20.10313,10.7522950621321,13.7995692142762,4503874773745664
21.95751,20.94959,20.4167,20.11672,19.97986,10.7741005315711,13.6903599855576,4503874773745664
22.65699,21.77102,20.27209,19.32407,18.87284,10.7528700825356,13.7631184919117,6755674587430928
23.83974,22.88127,22.35837,21.6014,20.75179,10.7523432259972,13.6978017800014,4503874807267352
25.11801,21.95217,20.90064,20.57935,20.34813,10.6688729135774,13.7125926313595,4503874773745664
23.4239,22.14443,21.26219,20.82278,21.28663,10.710625713833,13.7453112668817,4503874773745664
21.86242,19.89716,19.07623,18.65171,18.23327,10.253068331195,13.7963821146147,4503874773745664
22.16579,22.38382,21.15495,21.18233,20.52312,10.7799747005852,13.713070534903,4503874773712896
24.05169,23.19317,21.59454,20.82207,20.68039,10.7669635367782,13.7828811654423,4503874773745664
21.47329,20.06928,19.54362,19.29239,19.15835,10.0219675926859,14.2250640903259,6755674587430936
23.98651,22.44164,21.03847,20.89808,20.40989,10.7123021346814,13.6843655454768,4503874773746176
22.84184,22.61824,21.09009,20.33645,19.77755,10.7526444955113,13.8111666246396,4503874773745664
24.42511,22.79334,21.57569,21.50367,22.65065,10.7121395659071,13.6752490716376,4503874782134528
24.68179,22.67693,21.06539,20.21278,19.69855,10.2519263311515,13.7434697858541,4503874773712896
23.05242,21.32348,20.19826,19.74651,19.46751,10.7809767572181,13.6956990829982,4503874782134272
23.59809,23.13403,21.70833,21.21185,20.99546,10.7826080708295,13.7044789241538,4503874773712896
24.24398,22.92857,21.43502,21.20568,20.8178,10.4794174283211,13.886036203045,49539871047417856
22.49658,22.40962,21.41753,21.39101,21.01081,10.4876427847438,13.8686160173755,6755674587398160
26.2584,22.78445,21.33569,20.79031,20.3699,10.0329266730744,13.8017183857176,4503874916352000
22.59801,21.91449,20.86906,20.61972,20.08832,10.7632543999854,13.8119736399477,4503874773745664
