u,g,r,i,z,ra,dec,flags_r
17.16725,15.86868,15.37228,15.18867,15.11703,10.062824991098,13.772717600328,4503599895838736
22.80347,21.73701,21.16351,20.83499,20.51473,10.0740331053113,13.7986704340256,4503874782134272
19.12805,17.87168,17.33217,17.12596,17.05917,10.0633901610228,13.8826264209485,4503599895838736
23.31509,22.82432,22.47821,22.51684,21.54838,10.0732344230339,13.7174050193607,4503874907930624
22.03473,21.16251,20.55961,20.39589,20.52429,10.0626434541078,13.7962454436275,4503874773712912
23.65003,22.50147,21.03234,20.35269,20.10519,10.0642777324937,13.7072642974404,4503874807300112
25.06638,23.77245,22.7727,23.7078,20.94587,10.1517604890948,13.7230978335043,4503874816704784
25.8391,25.2846,22.89047,23.68276,23.29391,10.1515373880629,13.725182633578,4503874816737552
22.53172,21.77512,21.40445,21.42509,21.69951,10.1456718420012,13.767380745564,4503874773745664
23.40007,21.52668,20.1045,19.33532,18.80678,10.1517974354244,13.8613224587373,4503874773712896
23.69705,23.43678,22.09913,21.40005,21.62163,10.1452832607322,13.8487838426027,4503599904194816
22.27191,22.17884,21.80835,21.51843,21.72577,10.1503349206178,13.746286917576,4503599895805952
23.86273,23.26275,22.38024,22.46229,21.6786,10.2166233027903,13.8495353114074,4503874773712896
21.42226,18.61288,17.15917,15.64194,14.81634,10.034940463332,13.7866066042706,4503599895838736
23.55455,24.0625,22.07675,20.72105,19.91321,10.2181939258668,13.8485504084573,4503599895805952
25.72157,22.15703,20.80055,20.23953,19.88369,10.03399470576,13.7873247483639,4503599929360400
25.46559,23.22283,21.78658,20.53786,19.67313,10.2167436278382,13.717219946817,2310346883987406864
24.8082,21.65548,20.04263,18.66655,17.90001,10.2833737684398,13.7880956230185,2310346883987570704
23.73554,22.65723,21.70769,21.14702,20.8434,10.0331912682636,13.7703323967241,4503874773712896
21.05544,18.25346,16.80152,16.14635,15.75939,10.2831790127296,13.7382339237327,4503599895838720
22.9247,21.29313,20.90922,20.73841,20.84168,10.0350081007626,13.7430569852505,4503874773712896
23.7372,20.92002,19.3367,17.97578,17.19773,10.3523879427441,13.7121159533907,4503599895838744
23.0373,21.14486,19.68504,18.72305,18.2358,10.2817896997369,13.7007484025899,4503874773745664
23.86315,20.20184,18.64992,17.92679,17.4594,10.3415115706279,13.7137434350204,4503599895838736
24.15154,22.76573,22.80084,24.3618,21.42953,10.0283003577885,13.7189965261163,4503599929393176
