u,g,r,i,z,ra,dec,flags_r
19.93655,18.69218,18.21358,17.85752,17.59752,177.091810572179,51.0991542133896,6755674587430928
23.13311,21.28142,20.60033,20.23034,20.46459,177.089970427462,51.0006326686546,4503874840854600
25.50945,22.75958,20.88856,20.36899,19.90246,177.089945698961,51.15219819764,4503874773745664
25.80425,22.48107,22.4129,21.79836,22.13355,177.092303410421,51.1550821732277,4503874773745664
24.12917,22.45111,20.89302,20.37672,19.69764,177.189682775926,51.0707283195501,6755674587432208
23.11009,21.80638,21.16088,21.00654,21.46626,177.092853347422,51.1096585511136,4503874773712896
23.25292,22.97413,22.19012,21.8465,21.0807,177.188717059236,51.1026067513161,4503874773712896
20.3674,20.049,19.53083,19.32478,18.913,177.297086592392,51.0881281836368,4503599895969808
23.47117,22.08445,21.34989,21.04553,21.02527,177.299267916832,51.1633859331141,4503874773712896
21.73118,21.01149,20.13796,19.85709,19.45072,177.299855240978,51.1755174344322,4503874773745664
23.62948,22.27477,20.68615,20.05556,19.57681,177.410736835712,51.0761041355827,2312598683801124880
23.25142,22.46157,21.73792,21.44569,21.46058,177.298200907903,51.1611456734269,4503874773712896
20.7576,19.46612,18.55551,18.1285,17.69398,177.090461766815,51.4310360602672,4503874840854600
21.51322,20.82333,20.09422,19.86615,19.53139,177.091265171065,51.4369889330569,4503874773745664
23.8175,24.48942,22.65159,21.7247,21.75545,177.09233528141,51.4204317109516,4503874907930624
23.25106,24.34261,22.53235,21.09926,20.55243,177.091564486847,51.4497231191317,6755674721615896
23.11109,22.17478,21.23684,20.78996,20.84628,177.189182413942,51.595987637508,4503874773712896
23.92768,22.36835,21.24939,21.2276,20.74878,177.298981805649,51.5481688404697,4503874773712896
23.40316,20.58163,19.50051,19.00613,18.66532,177.299552561514,51.5857362789246,4503874773745680
22.36089,21.06296,20.15281,19.74496,19.63819,177.299447163821,51.618647149235,4503874773745680
26.02479,24.22045,22.70694,22.61173,23.25668,177.296779796661,51.5598347029593,4503600038412544
20.31362,19.49627,19.2534,19.13391,18.95968,177.412106606954,51.5329201122279,4503874773876736
24.26788,23.44966,22.60182,23.05507,22.15647,177.411051338932,51.4714902285565,2357634680074797072
22.11894,21.63741,21.08885,20.78471,20.49935,177.409961027192,51.5072627817606,6755674595819792
26.17909,24.20662,22.5745,21.59089,21.65315,177.411513530862,51.4238608813207,4503599895805952
25.85401,24.8824,22.00334,22.06558,21.80137,177.41180979974,51.5839901796572,4503874773745664
23.63205,22.00128,20.78028,20.26699,19.84313,177.090615881997,51.8244132399737,6755674587398160
23.12498,20.48316,18.8624,18.17923,17.75111,177.091867816321,51.8323998883386,4503874773876736
25.19084,23.25255,21.04307,20.02887,19.46929,177.188229801124,51.971254011375,2312598408923217936
18.81316,17.48461,17.01376,16.73363,16.53146,177.298909288687,51.8400568248059,6755674587430928
23.65995,22.31675,21.88954,21.82487,21.61509,177.089545201652,51.8730842026136,4503874782134528
24.06917,22.3266,21.88951,21.57799,21.63402,177.090493843179,51.9355858458308,4503874773712896
23.58006,22.47118,21.75885,21.23737,21.01921,177.189024144948,51.9408796832214,4503874773712896
23.96528,23.43599,21.64836,20.64163,20.38781,177.188183101278,51.9639720958295,2310346883995795472
24.59752,21.91074,21.14197,21.27851,20.51188,177.29985605385,51.9658459475022,4503874773745664
23.32041,23.47703,22.54136,21.26876,21.04611,177.090892487428,51.9140920349057,4503874782102016
26.32515,23.00914,22.23267,22.24253,23.0096,177.19050673626,52.0224390797661,4503874782101760
23.02208,22.46339,21.24962,20.85172,20.31308,177.411332017017,51.967279415492,4503874773745664
20.75649,20.28004,19.85591,19.72771,19.84751,177.188750089747,52.4504395393275,6755674587430928
25.22136,24.17354,22.31437,21.90112,23.93501,177.089629289823,52.2542916645299,2310346883995795736
24.56674,23.95304,22.5995,21.79098,22.63894,177.091911423947,52.3158185560055,6755674595786768
21.58085,20.58257,20.20889,19.91928,19.42814,177.188785197643,52.3579457679166,4503874773745664
25.74708,23.26464,21.85628,20.78882,20.70019,177.090019163182,52.2753464697921,4503874773712896
24.39649,23.76941,22.39275,22.94735,23.42831,177.190662579043,52.3509160713701,4503874773712896
22.64082,23.24523,22.00721,21.49174,21.5109,177.189332346467,52.3718844843806,4503874916352256
23.90201,23.40794,21.55422,20.70981,20.19275,177.411640818237,52.2930084527448,4503599929360400
24.83856,24.06573,22.50963,21.76817,21.07796,177.411149075418,52.294108878778,4503874807300120
25.60018,23.06549,21.42113,20.85937,20.14728,177.299458569001,52.3023922158758,4503874840855880
23.7381,23.03859,22.34985,21.85148,21.64374,177.298026408007,52.4427135278369,4503599904194560
22.82543,23.20393,21.68796,21.54761,22.35604,177.297659105631,52.2957501890624,4503874773746944
21.8596,22.28486,21.43558,21.08643,21.09594,177.09052851766,52.6629030299125,4503874773712896
23.54592,22.34804,21.80896,21.66174,20.93755,177.089922806665,52.8175144883436,4503874773712896
25.51023,24.4584,22.61085,21.94697,21.3493,177.091508532503,52.7117835169863,49539871047417856
21.63498,21.52652,21.30185,20.8107,20.84529,177.410267389178,52.8101586135518,4503874773745664
23.84921,23.73444,22.66853,22.08687,22.69888,177.188987662146,52.8663453414519,4573968673538065
23.44948,22.69754,22.10225,21.51522,22.70126,177.297951931938,52.718028806508,2312598683801092112
23.99121,23.01724,21.81182,21.38449,20.7741,177.296888917852,52.7422050084795,2312598683801124880
22.83034,21.77162,20.63669,20.15692,19.99147,177.40919693791,52.7361799927363,4503874773745664
24.25315,21.43619,19.67224,18.97858,18.49093,177.412283209033,52.7735023772119,4503874773745664
