u,g,r,i,z,ra,dec,flags_r
24.17838,20.81378,19.40086,18.35518,17.78035,177.957432015398,51.1651026251763,4503599895838720
21.20844,20.07151,19.73784,19.62997,19.56444,177.834815261274,52.3046433800053,4503874773745664
25.77342,23.8883,22.34529,21.01902,20.25603,177.834735620757,52.4120647403246,4503874773712896
25.03765,22.41797,20.94405,19.51546,18.64704,177.95679882192,52.850553390238,4503874773712896
24.64137,22.28081,21.79542,21.05668,20.57923,177.956840555564,51.4125043711267,4503874808315920
22.94276,22.30372,22.11838,24.36398,21.29026,177.957105098233,51.4098467830431,76561193968336912
19.79215,17.34905,16.16838,15.63431,15.39617,177.835468560758,52.2192020176631,4503599895838720
23.4826,24.29893,22.50112,21.93189,22.25269,177.653452970941,52.1136505718937,49539871181635584
25.38312,23.27898,22.29409,21.68506,20.96668,177.58648157867,52.2093789577166,4503874916352256
26.14967,22.99714,22.08012,20.80767,20.20992,177.588362339169,52.7164291319992,4503600030056448
25.408,23.24554,22.16123,21.50491,21.55964,177.956917859154,52.6296234936674,4503874773712896
23.4093,22.57302,21.23258,20.40357,19.91045,177.470381005197,52.7765402822744,4503874773745664
20.0648,18.91937,18.52246,18.3603,18.4143,177.156395390638,52.4031115184768,4503599895838736
23.91603,23.17089,22.5989,23.37794,21.6964,177.4718199724,51.4830960052224,4503874773712896
23.67812,22.63895,22.06365,21.73712,21.36506,177.957577610535,51.1107080127951,4503874773712896
23.16874,23.88053,22.58224,22.05173,21.7002,177.653529344144,52.5006405715535,4503599904194816
24.89203,23.28918,22.54111,22.43529,22.65195,177.324710477324,52.5895117314236,13511074028453888
24.50579,23.62717,22.54329,22.66782,21.39366,178.035947887551,52.2368612042303,49539871181635584
22.9014,21.89088,21.47971,21.16293,20.77028,178.147761573459,52.1617112012989,4503874773712920
24.00397,23.10727,22.07003,21.7715,22.48629,178.035076024661,52.2195392331876,4503874773712896
24.34142,22.73446,21.13108,20.57445,20.24849,178.037886075077,52.1653449104359,2310346883987406864
22.414,21.88716,21.60109,21.05199,20.58612,178.245185101607,52.2004808871068,4503874773712896
19.59142,19.54488,19.55843,19.41911,19.31138,178.244869165566,52.2551935517474,4503599895838720
18.61701,17.65239,17.3671,17.28523,17.2546,178.24407399187,52.2656453944125,4503599895969792
17.03136,15.57923,15.07474,14.9085,14.87759,178.244877311902,52.1011747238039,4503599895838736
20.90259,18.11187,16.79651,16.12766,15.79854,178.081090280291,52.7094288715899,4503599895838720
25.13071,23.45749,22.61505,21.71368,22.03959,177.653862570219,52.2479928321572,4503874773712896
23.27425,22.46404,22.33715,21.62185,21.02153,177.654637076865,52.1178105716653,4503874782101504
