name  u g r i z(redshift) petro_r distance(pc)
M31-G001 15.63 14.27 14.15 13.30 0.012 3.21 778000
JM81-GC2 19.66 18.25 17.58 17.26 0.055 1.91 3620000
JM81-GC1 20.55 19.12 18.50 18.21 0.030 2.10 3620000
M81-C2   19.59 18.19 17.58 17.30 0.046 2.06 3620000
M101-UCD1 21.48 20.24 19.75 19.46 0.140 1.56  7400000
M59-UCD3  18.87 16.81 16.00 15.61 0.056 0 14900000
NGC2403-UCD1 20.38 19.09 18.48 18.21 0 0  3190000
VUCD3 20.87 18.87 18.07 17.66 0 0 16500000
VUCD7 19.60 18.04 17.38 17.06 0 0 16500000
VUCD5 20.75 19.08 18.37 18.02 0 0 16500000
VLSB-A-nuc  21.69 20.45 19.97 19.65 0 0 16500000
