Name,type,RA,Dec,Mv,Mstar,Re,Sig
NGC0315,1,14.453681,30.352448,-24.6,2.70E+12,30619.6,351.6
NGC0584,1,22.836479,-6.868061,-22.6,3.43E+11,5296.6,217.3
NGC0636,1,24.777204,-7.512603,-21.6,1.23E+11,3647.5,156.3
NGC0720,1,28.252179,-13.738681,-22.6,4.06E+11,6918.3,246.6
NGC0777,1,30.062225,31.429383,-23.6,1.03E+12,13614.4,348.3
NGC1052,1,40.269994,-8.255764,-22,2.44E+11,5284.5,205.6
NGC1395,1,54.624121,-23.027692,-22.5,3.37E+11,6854.9,258.2
NGC1399,1,54.621179,-35.450742,-22.5,3.87E+11,5457.6,309.7
NGC1404,1,54.716321,-35.594392,-22.2,2.58E+11,3443.5,225.4
NGC1407,1,55.0496,-18.580378,-22.9,5.35E+11,10990.1,285.1
NGC1549,1,63.938429,-55.592361,-21.8,1.71E+11,4549.9,205.1
NGC1600,1,67.916075,-5.086103,-24.1,1.57E+12,22908.7,320.6
NGC1700,1,74.234779,-4.865733,-23.2,5.50E+11,5432.5,233.3
NGC2300,1,113.085358,85.708861,-22.6,4.84E+11,8035.3,269.2
NGC3091,1,150.058854,-19.636478,-23,5.53E+11,10069.3,290.4
NGC3557,1,167.490221,-37.539172,-23.5,8.77E+11,10023.1,291.7
NGC3904,1,177.305025,-29.276692,-21.8,1.50E+11,3589.2,215.3
NGC4125,1,182.025071,65.174133,-23.3,6.28E+11,11194.4,228.6
NGC4589,1,189.354308,74.191886,-22.2,2.37E+11,7413.1,214.8
NGC4889,1,195.033738,27.977025,-24.2,2.21E+12,21183.6,381.1
NGC6411,1,263.88675,60.813386,-22.7,3.78E+11,10232.9,155.6
NGC6909,1,306.911958,-47.027053,-22.2,1.80E+11,8394.6,148.6
NGC7507,1,348.031646,-28.539639,-22.3,2.88E+11,4920.4,238.2
NGC7619,1,350.060517,8.206286,-23.4,8.87E+11,11668.1,337.3
NGC7626,1,350.177183,8.217064,-23.4,8.55E+11,13708.8,233.9
NGC7785,1,358.829317,5.915878,-23.2,6.24E+11,10543.9,291.1
IC1459,1,344.2942,-36.462221,-22.7,4.49E+11,6251.7,307.6
IC4296,1,204.162721,-33.965917,-23.9,1.28E+12,19319.7,322.8
NGC1379,1,54.016417,-35.441175,-21.4,1.01E+11,5470.2,133.4
NGC1439,1,56.208154,-21.920497,-21.3,8.79E+10,6251.7,156.3
NGC3818,1,175.488983,-6.155661,-20.4,4.21E+10,2673,206.1
NGC4291,1,185.073746,75.370964,-21.4,1.17E+11,2630.3,258.8
NGC4742,1,192.950167,-10.454794,-20.5,3.33E+10,1270.6,93.3
NGC4431,1,186.863967,12.290356,-18.8,7.08E+09,1778.3,67.6
NGC4467,1,187.376113,7.99295,-17.7,3.58E+09,963.8,67
NGC0016,1,2.267917,27.729453,-21.7,1.47E+11,2322.7,182
NGC1175,1,46.134871,42.339264,-22.6,2.59E+11,4365.2,200
NGC1553,1,64.043608,-55.780139,-21.9,1.47E+11,2228.4,169.8
NGC2639,1,130.908721,50.205539,-21.7,1.02E+11,7447.3,179.9
