Name,type,RA,Dec,Mv,Mstar,Re,Sig
NGC0315,EsS0s,14.453681,30.352448,-24.6,2.70E+12,30619.6,351.6
NGC0584,EsS0s,22.836479,-6.868061,-22.6,3.43E+11,5296.6,217.3
NGC0636,EsS0s,24.777204,-7.512603,-21.6,1.23E+11,3647.5,156.3
NGC0720,EsS0s,28.252179,-13.738681,-22.6,4.06E+11,6918.3,246.6
NGC0777,EsS0s,30.062225,31.429383,-23.6,1.03E+12,13614.4,348.3
NGC1052,EsS0s,40.269994,-8.255764,-22,2.44E+11,5284.5,205.6
NGC1395,EsS0s,54.624121,-23.027692,-22.5,3.37E+11,6854.9,258.2
NGC1399,EsS0s,54.621179,-35.450742,-22.5,3.87E+11,5457.6,309.7
NGC1404,EsS0s,54.716321,-35.594392,-22.2,2.58E+11,3443.5,225.4
NGC1407,EsS0s,55.0496,-18.580378,-22.9,5.35E+11,10990.1,285.1
NGC1549,EsS0s,63.938429,-55.592361,-21.8,1.71E+11,4549.9,205.1
NGC1600,EsS0s,67.916075,-5.086103,-24.1,1.57E+12,22908.7,320.6
NGC1700,EsS0s,74.234779,-4.865733,-23.2,5.50E+11,5432.5,233.3
NGC2300,EsS0s,113.085358,85.708861,-22.6,4.84E+11,8035.3,269.2
NGC3091,EsS0s,150.058854,-19.636478,-23,5.53E+11,10069.3,290.4
NGC3557,EsS0s,167.490221,-37.539172,-23.5,8.77E+11,10023.1,291.7
NGC3904,EsS0s,177.305025,-29.276692,-21.8,1.50E+11,3589.2,215.3
NGC4125,EsS0s,182.025071,65.174133,-23.3,6.28E+11,11194.4,228.6
NGC4589,EsS0s,189.354308,74.191886,-22.2,2.37E+11,7413.1,214.8
NGC4889,EsS0s,195.033738,27.977025,-24.2,2.21E+12,21183.6,381.1
NGC6411,EsS0s,263.88675,60.813386,-22.7,3.78E+11,10232.9,155.6
NGC6909,EsS0s,306.911958,-47.027053,-22.2,1.80E+11,8394.6,148.6
NGC7507,EsS0s,348.031646,-28.539639,-22.3,2.88E+11,4920.4,238.2
NGC7619,EsS0s,350.060517,8.206286,-23.4,8.87E+11,11668.1,337.3
NGC7626,EsS0s,350.177183,8.217064,-23.4,8.55E+11,13708.8,233.9
NGC7785,EsS0s,358.829317,5.915878,-23.2,6.24E+11,10543.9,291.1
IC1459,EsS0s,344.2942,-36.462221,-22.7,4.49E+11,6251.7,307.6
IC4296,EsS0s,204.162721,-33.965917,-23.9,1.28E+12,19319.7,322.8
NGC1379,EsS0s,54.016417,-35.441175,-21.4,1.01E+11,5470.2,133.4
NGC1439,EsS0s,56.208154,-21.920497,-21.3,8.79E+10,6251.7,156.3
NGC3818,EsS0s,175.488983,-6.155661,-20.4,4.21E+10,2673,206.1
NGC4291,EsS0s,185.073746,75.370964,-21.4,1.17E+11,2630.3,258.8
NGC4742,EsS0s,192.950167,-10.454794,-20.5,3.33E+10,1270.6,93.3
NGC4431,EsS0s,186.863967,12.290356,-18.8,7.08E+09,1778.3,67.6
NGC4467,EsS0s,187.376113,7.99295,-17.7,3.58E+09,963.8,67
NGC0016,EsS0s,2.267917,27.729453,-21.7,1.47E+11,2322.7,182
NGC1175,EsS0s,46.134871,42.339264,-22.6,2.59E+11,4365.2,200
NGC1553,EsS0s,64.043608,-55.780139,-21.9,1.47E+11,2228.4,169.8
NGC2639,EsS0s,130.908721,50.205539,-21.7,1.02E+11,7447.3,179.9
NGC3115,EsS0s,151.308242,-7.718581,-20.7,6.41E+10,1545.3,219.8
NGC4169,EsS0s,183.078417,29.179294,-22.1,2.02E+11,4864.1,221.8
NGC4594,EsS0s,189.997633,-11.623054,-23.4,5.06E+11,8128.3,219.8
NGC5380,EsS0s,209.236117,37.610417,-20.5,4.91E+10,1071.5,158.1
IC0560,EsS0s,146.472656,-0.268221,-19.2,9.89E+09,1879.9,83.2
IC0598,EsS0s,153.202423,43.145546,-19.7,1.25E+10,1546.5,100.2
IC0676,EsS0s,168.165909,9.055736,-19.4,1.38E+10,2968.3,66.8
IC0719,EsS0s,175.077042,9.009861,-19.8,3.39E+10,1516.8,85.9
IC1024,EsS0s,217.863419,3.009107,-18.9,1.10E+10,1404.1,59.2
IC3631,EsS0s,189.950195,12.973927,-19.1,3.88E+09,2348.7,54.1
NGC0448,EsS0s,18.818876,-1.626105,-20.1,2.07E+10,1436.8,97.3
NGC0474,EsS0s,20.027901,3.41527,-21,8.59E+10,4441.5,167.1
NGC0502,EsS0s,20.731415,9.049169,-20.1,2.62E+10,2515.8,127.9
NGC0509,EsS0s,20.850327,9.433469,-19,1.02E+10,2305.6,61.9
NGC0516,EsS0s,21.033607,9.551668,-19.3,1.07E+10,2332.9,55.3
NGC0524,EsS0s,21.198778,9.538793,-21.8,1.48E+11,4139.3,243.2
NGC0525,EsS0s,21.220442,9.70324,-19,1.47E+10,1591.2,89.9
NGC0661,EsS0s,26.060976,28.705988,-20.3,8.00E+10,2406,190.1
NGC0680,EsS0s,27.447035,21.970827,-21.3,9.75E+10,3152.1,207
NGC0770,EsS0s,29.80685,18.954695,-19.7,1.35E+10,1280.1,110.9
NGC0821,EsS0s,32.088123,10.99487,-21.1,1.02E+11,3942.7,199.5
NGC0936,EsS0s,36.90609,-1.15628,-21.9,1.25E+11,5752,195.9
NGC1023,EsS0s,40.100052,39.063251,-21.1,6.58E+10,1891.9,207
NGC1121,EsS0s,42.663387,-1.73404,-19.8,2.77E+10,1115.2,171.8
NGC1222,EsS0s,47.236446,-2.955212,-19.8,1.05E+10,2489,69.2
NGC1248,EsS0s,48.202328,-5.224674,-20,1.66E+10,2072.3,92.3
NGC1266,EsS0s,49.00312,-2.42737,-20,2.58E+10,2762.1,78.9
NGC1289,EsS0s,49.707592,-1.973354,-20.5,4.57E+10,3183.5,135.8
NGC1665,EsS0s,72.071098,-5.427655,-20.7,3.57E+10,4566.7,99.8
NGC2549,EsS0s,124.743111,57.803108,-19.5,2.08E+10,1136.3,149.3
NGC2577,EsS0s,125.681137,22.55304,-20.5,7.76E+10,2350.3,208.9
NGC2592,EsS0s,126.783669,25.970339,-20,4.76E+10,1477.5,242.1
NGC2679,EsS0s,132.887192,30.865419,-19.9,2.17E+10,3692.6,96.2
NGC2685,EsS0s,133.894791,58.734409,-19.9,1.53E+10,1787.7,93.8
NGC2695,EsS0s,133.612778,-3.067101,-20.7,7.43E+10,2635.6,219.8
NGC2698,EsS0s,133.902222,-3.183882,-20.4,6.67E+10,1623.8,226.5
NGC2699,EsS0s,133.953415,-3.127507,-19.8,2.28E+10,1412.1,151.7
NGC2764,EsS0s,137.072983,21.443447,-20.3,4.35E+10,2846.2,89.9
NGC2768,EsS0s,137.906265,60.037209,-21.8,3.42E+11,6339.1,202.3
NGC2778,EsS0s,138.101639,35.027424,-19.3,3.05E+10,1655.3,164.1
NGC2824,EsS0s,139.759277,26.269999,-20,1.42E+10,1581.9,134
NGC2859,EsS0s,141.077286,34.513378,-21.2,8.91E+10,3613.6,178.6
NGC2880,EsS0s,142.394241,62.49062,-20.1,3.28E+10,2118.1,141.3
NGC2950,EsS0s,145.646317,58.851219,-20,2.67E+10,1213.2,169.8
NGC2962,EsS0s,145.224609,5.16582,-21.1,1.25E+11,4786.9,175.4
NGC2974,EsS0s,145.638611,-3.699116,-20.7,1.27E+11,2797.2,237.1
NGC3032,EsS0s,148.034119,29.236279,-19.1,7.10E+09,1986,96.2
NGC3073,EsS0s,150.216843,55.618935,-18.9,6.40E+09,3202.2,56.9
NGC3098,EsS0s,150.569458,24.711092,-19.8,2.15E+10,1149,109.1
NGC3156,EsS0s,153.171692,3.12932,-19.2,8.61E+09,1910,68.9
NGC3193,EsS0s,154.603683,21.893978,-21.7,1.34E+11,4409.6,199.1
NGC3226,EsS0s,155.862549,19.898439,-20.3,9.84E+10,4087.1,177.8
NGC3230,EsS0s,155.93309,12.567883,-21.3,1.26E+11,3313.1,200.9
NGC3245,EsS0s,156.826523,28.507435,-20.8,5.77E+10,2291.2,209.9
NGC3248,EsS0s,156.93927,22.84717,-19.5,1.68E+10,2320.1,97.7
