objid,ra, dec 
1237667444048658450,194.847550121,27.9195655267
1237663275775361168,348.802605823,-1.24953224043
1237651191361110063,140.176908769,56.7787338102
1237653650772852745,27.3102495641,13.0319847009
1237663782595788923,20.5376791775,-1.16524116138
1237678617425477726,17.4491830673,1.21983527776
1237666338116599906,19.7054946621,-0.997192985748
1237660240313712761,50.1402106426,-0.339228056644
1237655468598165525,226.642818746,1.55882827335
1237654604787941646,157.983257826,4.00332707518
1237656243308527929,334.008460248,14.0405464621
1237651754022600723,208.048153601,2.31528358925
1237663784211447981,32.1609604282,0.128342680825
1237652943694398032,318.447274013,10.8273007441
1237648702987632847,231.677446029,-1.04218344483
1237655368755380342,204.379373422,60.0264114776
1237658917459460159,197.765496241,54.2782508664
1237659133284843550,224.627140434,48.4856372056
1237660962938945670,136.240201903,34.2823493031
1237663544222482596,336.220574457,0.811903013619
1237655368753610775,196.354380907,61.1311331667
1237654786779840584,187.395804357,8.05798754751
1237662263785685073,228.209406592,7.43942534852
1237665128565243971,239.297095762,22.3877425759
1237667444048658450,194.847550121,27.9195655267
1237660670355570883,156.840450892,11.0825593859
1237661060647879034,50.1138428624,42.5722008101
1237660634924580929,166.018344405,45.2719370929
1237661126155436170,139.949433117,33.7680263426
1237661871333376072,196.168463626,43.3095654218
1237662237485564395,229.172010307,7.00169010069
1237662661596151849,214.821758266,35.1542398779
1237662698108813379,233.807936113,27.322127905
1237663783665401976,11.113466851,-0.37166052836
1237664853118157077,241.189411337,23.0559718218
1237665227312791727,204.676908046,31.2491944381
1237667108498964595,123.187559073,16.8882469545
1237665428645806223,241.292269439,17.7184040357
1237667254550134916,178.286044513,30.1874551714
1237667430098862106,152.677492793,23.6521540218
1237665532263006501,246.833684104,14.0938713065
1237667253998256260,140.846272941,22.3032474267
1237665428645740694,241.145810411,17.7292691624
1237668293375951116,176.268314471,19.5706733416
1237667910051364960,172.601176449,23.3667414304
1237666339726295158,17.5736171058,0.342974933502
1237667253476327452,178.179733153,29.3171543865
1237667444048658450,194.847550121,27.9195655267
1237667538006769740,148.615197028,20.790184181
1237652901310759004,59.3191529742,-5.37404622045
1237660583372390516,156.579144127,8.30083256213
1237667108501192837,128.002110463,19.2016228897
1237668297680224525,216.216357389,17.0419444666
1237667322721665101,188.8633067,27.0674261328
1237668367999238473,241.935991266,13.9098967767
1237665532263596062,248.025201146,13.6462426447
1237668310556278955,241.125749868,11.213098871
1237671262281793654,154.843311361,16.0833414736
1237667915953537313,175.994586796,19.9911693921
1237667444048658450,194.847550121,27.9195655267
1237653665259782151,152.043037334,2.46342077391
1237653650772852745,27.3102495641,13.0319847009
1237652600634081472,310.294064357,-5.1114569082
1237654604787941646,157.983257826,4.00332707518
1237655468598165525,226.642818746,1.55882827335
1237654610141446147,181.985983815,65.1139468913
1237657628432007196,119.771506617,27.4595402377
1237661815485562947,190.315555368,11.3872402227
1237661059574399387,50.1374704982,41.5741245778
1237654786779840584,187.395804357,8.05798754751
1237661949725114453,202.336074539,11.7400488444
1237661059574465600,50.2558101939,41.4344626658
1237661060647879034,50.1138428624,42.5722008101
1237668293375951116,176.268314471,19.5706733416
1237668294449233938,175.152707366,20.3137238676
1237667211603345434,185.48689621,30.0743439993
1237661069245480976,143.513015911,11.0058216887
1237661126689816643,133.888340508,31.2116610524
