objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,snMedian,clean,h_m_2mass,j_m_2mass,k_m_2mass,classification,w1mag,w2mag,w3mag,w4mag
1237674371287548171,116.588946651538,17.6036056948204,0.05142346,0,0.04516216,0.0003493434,17.51369,15.96027,15.29521,15.02669,14.8843,1.192041,0.6165183,67.58797,1,13.387,13.908,13.295,6,13.255,13.371,12.048,8.555
1237667211042160837,126.292022678102,16.3659250171292,0.003917635,0,0.004518464,0.0008578859,18.8692,17.72289,17.28548,17.10879,17.04476,0.9325271,0.4836837,32.28337,1,15.668,16.176,15.369,6,16.054,16.032,11.841,8.499
1237667211579097294,126.178187076071,16.8527039465663,0,0,0,0.0002079063,18.45675,16.92915,16.29789,16.03608,15.88034,0.8997739,0.4731089,65.2748,1,14.416,14.951,14.34,6,14.328,14.45,12.024,8.393
1237671124296859958,133.534062405775,11.2937152424083,0.1396665,1,0.2007235,0.0002112858,20.08094,18.58031,17.98625,17.77288,17.7114,1.55467,0.7608928,27.47366,1,16.071,16.653,15.322,6,15.365,15.035,11.559,8.352
1237664668966256694,140.284104400708,31.1451952776287,0.08838293,1,0.1391569,0.0003623972,15.86396,14.85201,14.52916,14.40737,14.3829,1.465641,0.7368741,67.9839,1,13.319,13.589,13.258,6,13.185,13.188,12.109,8.088
1237667111724646482,146.663262957137,25.7365808942692,4.399043E-05,0,0,0.0002351537,17.27885,16.31391,16.02757,15.91436,15.91411,1.104132,0.5658242,41.56739,1,14.78,15.049,14.924,6,14.731,14.796,12.093,8.103
1237667111724974146,147.368232515874,26.0690202244211,0.008232257,0.9645021,0.01115742,0.0005132531,17.40087,16.44658,16.20569,16.11905,16.12747,0.9938106,0.5116484,34.71801,1,15.019,15.389,14.865,6,14.964,15.062,12.012,8.332
1237668495776350368,162.856360177634,16.4380387823915,0.00859887,0,0.008975508,0.0005226557,19.60927,17.93265,17.23837,16.95923,16.81182,1.146984,0.5890184,37.88179,1,15.238,15.814,15.204,6,15.138,15.422,11.918,8.246
1237658803106152470,163.048190992062,53.8594945569858,0.06519171,1,0.07299484,0.000358167,17.59233,16.36093,16.55523,16.69281,16.80028,1.384387,0.696008,38.61061,1,16.05,16.128,15.403,6,16.32,16.615,12.279,8.458
1237658611442581543,164.62627473483,46.9320396331386,0.002278846,1,0.003201291,0.0002114284,18.51472,17.39188,16.92058,16.68498,16.57934,1.637312,0.8186501,43.95767,1,15.229,15.652,15.068,6,15.109,15.168,11.808,8.053
