objid,ra,dec,devrad_r,fracdev_r,exprad_r,redshift,modelmag_u,modelmag_g,modelmag_r,modelmag_i,modelmag_z,petrorad_r,petroR50_r,clean
587741489817256155,126.29202044,16.36593069,0,1,6.811406E-3,8.90741E-4,18.883795,17.73279,17.286242,17.104851,17.043924,0.935956,0.48485,1
587733081881247768,163.04819782,53.85949625,0.042804,1,0.045369,3.55371E-4,17.588945,16.367323,16.556688,16.69755,16.778122,1.386082,0.696168,1
587739304750940213,176.67876315,35.35000956,2.647577E-3,0,4.481221E-3,3.11793E-4,18.095863,17.241016,16.932032,16.835756,16.792906,1.319132,0.67149,1
588017704008876132,190.92076478,12.65042502,0.074235,0,0.122634,8.0763E-4,18.278555,17.009073,17.059929,17.185204,17.231176,1.344142,0.674742,1
587744638027628600,126.02210904,13.39164919,0.020308,1,0.028141,3.54986E-4,16.480864,15.260536,15.188696,15.202155,15.275707,1.076977,0.550021,1
588848899921215520,199.48943934,-0.1385835,0.05669,1,0.06184,5.46963E-4,18.239468,17.021286,16.900091,16.893139,16.891266,1.459601,0.736067,1
587741817309757635,127.9999647,14.85392647,8.7808E-4,0,1.914321E-5,4.17811E-4,18.676123,17.512203,17.054956,16.877157,16.820164,1.375128,0.690687,1
587725041174052913,199.1882981,-1.80699244,3.234163E-3,1,0.019123,2.57017E-4,18.767452,17.544842,17.250303,17.147827,17.108438,1.678349,0.853701,1
587726032799137876,211.35705327,2.30083788,0,1,2.643276E-5,4.41691E-4,17.765934,16.608393,16.735542,16.891239,17.014275,1.238528,0.634667,1
587741387812438117,126.20044963,18.79337683,2.127811,1,2.310844,2.58652E-4,18.504539,17.011768,16.332207,16.000902,15.766283,7.070002,2.522861,0
587728879267872830,157.19622195,3.60587086,0.029126,0,0.033814,7.29502E-4,18.303179,17.330795,17.027161,16.907558,16.857826,1.494493,0.758737,1
587734862142963764,146.18130216,7.24495213,4.247336E-4,0,0,4.73591E-4,18.398045,17.432741,17.139006,17.015984,17.002951,1.245236,0.631576,1
587741390499545125,146.12169435,25.6429193,0.043345,0,0.06746,7.52835E-4,18.503391,17.538277,17.196035,17.51255,17.048635,1.114877,0.57314,1
588848899921608709,200.35086162,-0.16869685,5.750016E-4,1,3.68039E-5,5.11792E-4,18.845369,17.848269,17.495157,17.369555,17.344229,1.494819,0.767804,1
587738411406196785,166.58768505,15.09397516,2.690017E-7,1,4.60448E-4,3.86293E-4,18.570761,17.581297,17.188065,17.006947,16.958151,1.271063,0.643553,1
588016840167456869,117.04692452,18.64015719,4.738136E-5,1,1.939687E-5,3.4782E-4,19.088764,17.895422,17.452654,17.303175,17.249422,1.121554,0.567132,1
588023047481327738,146.44784008,22.74250182,0.023315,0.990512,2.745165E-4,8.00409E-4,17.80316,16.643738,16.631556,16.679333,16.720629,1.328317,0.683353,1
588017704537096196,170.54437505,12.93575631,6.591609E-3,0.993974,3.393971E-4,4.65154E-4,18.548677,17.369543,16.935976,16.757557,16.709303,1.55308,0.768941,1
587739154431737926,129.49365633,24.25580085,0.087367,1,0.134886,6.11618E-4,18.4401,17.16037,17.063168,17.029747,17.017527,1.49248,0.744128,1
587735695905259556,178.10163922,57.05117274,0.080641,0.895694,0.127369,2.98855E-4,17.606256,16.329971,16.335562,16.359739,16.385572,1.695032,0.836075,1
587741532766863543,126.4056019,16.58994207,0.017084,0,0.030096,2.11433E-4,18.563251,16.431463,15.563732,15.255446,15.115732,1.225185,0.617545,1
587744638565417051,127.9064896,14.60552106,0.339086,0.267317,0.52959,3.13045E-4,17.928402,16.142365,15.536704,15.359026,15.270618,1.483172,0.728701,0
587731890038833312,170.14532402,55.99366575,0.078698,0,0.130385,4.00999E-4,20.180948,17.44512,16.135242,15.704616,15.513947,1.557604,0.774212,1
587741532763717800,119.61945602,13.43049087,1.239332E-4,0,2.399971E-3,2.32689E-4,18.048323,16.565037,15.96525,16.816187,15.610207,1.23596,0.62871,1
587739377778622503,149.89000584,30.48901777,0,1,3.870398E-5,4.35452E-4,17.122253,15.890416,15.812003,15.846066,15.901388,1.3524,0.686352,1
588023046397952155,124.9456795,14.2848107,0.410493,0.870187,0.523519,3.29186E-4,17.229765,16.116882,15.653171,15.559241,15.425982,1.937737,0.934503,1
588023046397952157,124.98054188,14.23239333,0.436717,0.736747,0.519495,2.30346E-4,18.759464,17.717245,17.287331,17.070131,16.934155,1.96989,0.947812,1
587738946669838402,146.12872943,32.48351464,0.013505,0,3.203189E-3,8.66934E-4,18.4835,17.468912,17.144737,17.045227,17.041248,1.602844,0.801903,1
587722983895990313,199.20249114,0.52329766,0.535969,0.755273,0.918794,3.18147E-4,19.640129,17.996031,16.621281,17.199591,16.705353,2.279425,0.991399,1
587732770522660947,191.79335413,9.22209545,0.452944,0,0.675264,3.81248E-4,17.90519,16.862139,16.503353,16.384621,16.358231,1.839777,0.896044,0
587741387812372626,126.10949512,18.70794143,5.096431E-5,0,2.434651E-5,1.13905E-3,18.670931,17.40781,17.189157,17.118019,17.098602,1.01141,0.52332,1
587739376690528556,118.15165854,15.36023047,0.010685,0.881124,0.023299,1.05216E-3,17.545359,16.394831,16.581001,16.752985,16.88282,1.079497,0.559871,1
587742575925002390,231.30679455,13.41539878,0,1,2.336294E-5,2.30461E-4,18.588642,17.582743,17.242781,17.118113,17.079767,1.123898,0.578397,1
587734691426926639,142.20122658,7.72224504,6.090272E-4,0,5.036019E-3,7.1853E-4,16.507292,16.467415,15.218784,15.094546,15.067055,1.09311,0.556189,1
587739376164864011,142.64077008,26.83460913,0.026517,1,0.032799,5.53824E-4,18.747915,17.74201,17.470734,17.345825,17.314459,1.222299,0.623342,1
587748928703496312,179.37347788,-0.2972298,0.028254,1,0.034909,2.1282E-4,19.060211,17.960421,17.519053,17.35244,17.261156,1.160375,0.59659,1
587741532229599327,125.62208051,15.90831286,0.033384,0.989143,3.036579E-3,9.0491E-4,16.186214,14.927356,14.728836,14.674646,14.672754,1.176503,0.591584,1
588017990147178557,191.25782226,8.95134243,0.053073,0,0.065391,2.4755E-4,17.941303,16.745281,16.650408,16.630629,16.656776,1.464675,0.739032,1
